,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.9,1.08,0.9,0.71,0.49,0.58,0.48,0.39,0.41,0.42,0.37,0.34,0.37,0.36
f_1,1.18,1.0,0.87,1.01,0.85,0.71,0.37,0.43,0.45,0.36,0.36,0.35,0.31,0.29,0.25,0.34
d_1,1.11,1.15,1.0,0.89,0.93,0.72,0.5,0.45,0.4,0.56,0.44,0.39,0.39,0.35,0.35,0.28
c_1,0.92,0.99,1.14,1.0,1.15,0.73,0.55,0.33,0.47,0.42,0.35,0.41,0.4,0.34,0.33,0.3
b_1,1.12,1.16,1.07,0.87,1.0,1.13,0.61,0.5,0.44,0.51,0.49,0.42,0.37,0.35,0.36,0.38
a_1,1.37,1.41,1.38,1.35,0.9,1.0,0.76,0.68,0.64,0.57,0.67,0.58,0.51,0.44,0.44,0.47
h_1,2.02,2.63,1.96,1.89,1.65,1.36,1.0,0.87,0.97,0.73,0.82,0.68,0.77,0.65,0.55,0.68
d_0,1.78,2.31,2.17,3.0,2.04,1.55,1.17,1.0,1.01,0.77,0.87,0.92,0.82,0.69,0.69,0.8
g_1,2.11,2.13,2.58,2.17,2.27,1.55,1.04,0.98,1.0,0.89,0.86,1.12,0.71,0.74,0.74,0.77
c_0,2.62,2.73,1.88,2.46,1.87,1.7,1.34,1.2,1.07,1.0,1.37,1.02,0.82,0.86,0.9,0.77
b_0,2.44,2.79,2.23,2.75,2.03,1.56,1.24,1.13,1.2,0.75,1.0,0.9,0.89,1.17,0.8,0.74
f_0,2.41,2.88,2.62,2.37,2.22,1.73,1.47,1.13,0.92,0.97,1.08,1.0,0.87,0.95,1.21,0.7
h_0,2.78,3.18,2.71,2.53,2.58,1.89,1.36,1.18,1.43,1.18,1.12,1.15,1.0,0.85,0.83,1.01
a_0,2.97,3.34,2.87,2.95,2.76,2.26,1.6,1.44,1.51,1.17,0.9,1.15,1.12,1.0,0.98,1.07
e_0,2.87,4.09,2.8,3.06,2.76,2.19,1.83,1.45,1.24,1.15,1.28,0.89,1.24,1.0,1.0,0.98
g_0,2.81,2.84,3.64,3.21,2.65,2.16,1.44,1.2,1.32,1.22,1.39,1.47,0.98,0.96,1.01,1.0
