,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.96,0.8,0.51,0.52,0.47,0.31,0.32,0.3,0.32,0.3,0.3,0.22,0.29,0.22,0.17,0.24
e_1,0.55,0.95,0.47,0.62,0.53,0.38,0.39,0.35,0.33,0.54,0.31,0.32,0.31,0.26,0.19,0.29
d_1,0.62,0.61,0.95,0.43,0.5,0.36,0.4,0.57,0.28,0.3,0.38,0.38,0.33,0.27,0.27,0.25
c_1,0.56,0.52,0.59,0.95,0.81,0.32,0.35,0.22,0.31,0.26,0.25,0.32,0.3,0.26,0.23,0.27
b_1,0.6,0.51,0.64,0.47,0.95,0.69,0.42,0.34,0.31,0.32,0.27,0.3,0.33,0.2,0.24,0.31
a_1,0.73,0.6,0.68,0.75,0.42,0.94,0.49,0.45,0.38,0.38,0.42,0.37,0.37,0.26,0.26,0.33
h_1,1.08,0.81,0.87,0.75,0.71,0.48,0.78,0.5,0.55,0.51,0.49,0.48,0.4,0.31,0.31,0.5
c_0,1.06,0.9,0.81,0.91,0.69,0.54,0.6,0.74,0.43,0.52,0.81,0.51,0.5,0.46,0.41,0.4
g_1,0.84,0.8,1.19,0.84,0.78,0.59,0.54,0.63,0.77,0.49,0.44,0.68,0.49,0.44,0.4,0.36
d_0,1.04,0.78,0.64,1.45,0.79,0.59,0.5,0.48,0.48,0.68,0.48,0.46,0.49,0.43,0.33,0.42
b_0,1.07,0.96,0.9,1.01,0.76,0.41,0.49,0.54,0.62,0.62,0.71,0.49,0.59,0.73,0.41,0.5
f_0,0.91,0.84,0.9,0.99,0.99,0.62,0.62,0.59,0.48,0.55,0.57,0.7,0.59,0.46,0.69,0.38
h_0,1.27,0.95,0.95,1.01,0.84,0.64,0.56,0.64,0.66,0.59,0.55,0.47,0.48,0.43,0.39,0.62
a_0,1.21,0.99,1.0,1.04,1.07,0.48,0.8,0.63,0.54,0.63,0.47,0.57,0.62,0.67,0.43,0.53
e_0,1.15,0.89,0.98,1.07,1.09,0.65,0.75,0.62,0.61,0.62,0.58,0.45,0.6,0.47,0.67,0.56
g_0,1.08,0.94,1.41,1.07,0.86,0.6,0.63,0.68,0.52,0.54,0.52,0.83,0.47,0.43,0.44,0.45
