,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.88,0.93,0.95,1.1,0.97,0.77,1.01,1.35,1.02,1.01,1.09,1.13,0.83,0.96
f_1,0.92,1.0,1.34,1.11,0.95,0.88,0.84,1.09,0.94,0.95,0.87,0.99,0.81,0.88,1.21,0.69
e_1,1.14,0.75,1.0,1.05,1.01,1.04,1.11,0.99,1.34,1.11,1.11,1.07,0.95,0.94,0.9,0.85
c_1,1.07,0.9,0.95,1.0,1.32,0.98,1.1,1.0,0.77,0.73,0.76,1.14,1.2,0.82,0.99,1.08
b_1,1.05,1.05,0.99,0.76,1.0,1.38,0.93,0.96,0.96,0.91,1.04,1.06,0.95,1.26,1.13,1.03
a_1,0.91,1.13,0.96,1.02,0.72,1.0,1.24,1.47,1.06,0.98,1.17,1.05,0.99,1.1,1.17,1.13
h_1,1.04,1.19,0.88,0.9,1.07,0.85,1.0,1.36,0.88,0.84,0.89,0.85,1.14,1.06,1.16,0.98
g_1,1.33,0.89,1.01,1.02,1.0,0.7,0.72,1.0,1.01,1.02,1.0,1.17,0.93,1.07,0.62,1.05
d_0,0.91,1.07,0.74,1.36,1.0,0.93,1.11,1.02,1.0,0.84,1.1,0.87,1.12,0.79,1.01,1.17
c_0,0.69,1.14,0.95,1.48,1.11,1.05,1.22,0.96,1.19,1.0,1.38,0.99,1.18,1.07,0.94,1.17
b_0,0.97,1.23,0.89,1.29,0.95,0.82,1.11,1.01,0.93,0.71,1.0,0.9,1.1,1.28,1.01,0.79
f_0,0.99,1.04,0.97,0.91,0.94,0.92,1.16,0.84,1.08,1.04,1.09,1.0,0.94,1.1,0.86,1.76
h_0,0.92,1.28,0.98,0.85,1.02,1.0,0.92,1.05,0.91,0.88,0.9,0.99,1.0,0.92,1.18,0.74
a_0,0.84,1.16,1.05,1.1,0.8,,0.91,1.04,1.25,0.99,0.83,0.89,1.07,1.0,1.15,1.0
g_0,1.21,0.82,1.05,1.1,0.84,0.79,0.86,,0.92,1.05,0.95,1.19,0.86,0.95,1.0,1.07
e_0,1.05,1.39,1.2,1.02,1.02,0.82,1.01,0.94,0.82,0.84,1.39,0.59,1.34,1.0,1.0,1.0
