,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.29,0.87,0.98,0.66,0.87,0.59,1.6,1.38,3.06,1.38,1.63,1.45,1.3,2.06,0.97,1.98
f_1,1.41,2.34,0.83,0.73,0.72,0.49,1.47,1.37,1.75,1.34,1.09,1.35,1.37,2.03,0.86,1.7
c_1,0.88,0.86,2.44,0.72,1.34,0.6,1.47,1.37,1.66,1.0,1.54,1.22,1.24,2.1,1.42,1.69
d_1,0.86,0.93,0.63,2.52,0.69,0.63,1.5,1.58,1.02,3.02,1.71,1.9,1.83,2.31,1.7,1.96
b_1,0.77,0.81,0.9,0.83,2.52,1.31,1.41,1.16,1.84,1.52,1.52,1.07,1.04,1.99,1.37,1.98
a_1,0.78,0.93,0.97,0.82,0.83,3.2,1.91,1.36,1.64,1.6,1.69,1.6,0.98,1.9,1.53,1.83
h_1,0.94,1.32,0.87,0.91,0.74,0.66,3.28,1.93,1.82,1.53,1.56,1.63,1.37,1.62,1.44,2.43
g_1,0.87,0.85,0.89,1.45,0.76,0.64,1.59,3.5,1.4,1.87,2.52,1.89,1.63,2.28,1.53,1.62
d_0,0.85,1.02,1.79,0.55,0.87,0.59,1.68,1.45,2.94,1.15,1.71,1.43,1.56,2.0,1.41,1.94
c_0,0.97,1.06,0.7,1.04,0.69,0.61,1.82,1.78,1.7,3.25,1.81,3.49,2.14,2.36,1.45,2.34
f_0,0.88,0.82,1.0,0.95,0.85,0.72,1.82,1.66,2.19,1.68,3.33,2.08,1.99,2.31,3.24,1.91
b_0,0.99,1.08,0.95,1.08,0.53,0.46,1.89,1.91,1.57,2.17,1.78,3.52,3.49,2.18,1.31,2.06
a_0,0.96,1.06,0.94,0.94,0.8,0.54,1.86,1.78,1.75,2.07,2.21,1.86,3.55,2.58,2.07,1.97
h_0,0.88,1.31,1.02,0.96,0.79,0.53,1.31,1.97,1.97,1.8,1.36,1.66,1.74,1.77,1.43,2.57
e_0,0.53,1.1,0.96,1.03,0.94,0.71,2.13,1.66,1.73,2.09,1.72,1.85,1.45,2.4,3.56,2.06
g_0,0.82,0.95,0.99,1.47,0.85,0.59,1.63,1.21,1.63,1.67,2.56,1.65,1.52,2.2,1.67,1.52
