,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,1.14,0.94,0.96,1.09,1.29,1.23,0.85,0.77,0.87,1.25,0.94,1.09,,1.04
f_1,1.39,1.0,0.89,1.02,0.96,1.07,0.82,0.98,1.11,0.92,0.88,,0.98,0.86,1.02,1.08
c_1,0.88,1.13,1.0,1.24,1.23,0.91,0.98,0.76,,0.9,0.88,1.05,0.94,0.99,1.24,1.04
d_1,1.06,0.99,0.81,1.0,0.95,1.28,1.18,,1.08,0.83,1.02,1.17,1.07,1.2,0.92,0.73
b_1,1.04,1.04,0.81,1.06,1.0,1.47,0.97,0.92,1.07,1.1,,0.87,1.03,1.06,0.83,1.06
a_1,0.92,0.93,1.1,0.78,0.68,1.0,1.11,1.04,0.91,1.04,1.0,0.89,,1.17,,1.38
h_1,0.78,1.22,1.02,0.85,1.03,0.9,1.0,1.08,1.11,1.33,0.96,0.94,0.93,,0.85,1.02
d_0,0.81,1.02,1.32,,1.09,0.96,0.93,1.0,1.19,1.0,1.09,0.95,0.78,0.98,0.92,1.03
c_0,1.18,0.9,,0.92,0.93,1.1,0.9,0.84,1.0,1.19,1.43,1.04,0.87,1.02,0.83,0.84
g_1,1.29,1.08,1.11,1.21,0.91,0.96,0.75,1.0,0.84,1.0,0.98,1.25,1.03,0.83,,
b_0,1.15,1.13,1.14,0.98,,1.0,1.04,0.92,0.7,1.02,1.0,0.85,1.64,0.96,,1.12
f_0,0.8,,0.95,0.86,1.15,1.13,1.07,1.05,0.96,0.8,1.17,1.0,1.31,1.22,1.48,0.72
a_0,1.07,1.02,1.07,0.93,0.97,,1.08,1.28,1.15,0.97,0.61,0.76,1.0,,,0.79
h_0,0.92,1.17,1.01,0.83,0.94,0.85,,1.02,0.98,1.2,1.04,0.82,,,1.14,1.4
e_0,,0.98,0.81,1.09,1.21,,1.18,1.09,1.21,,,0.68,,0.88,1.0,
g_0,0.96,0.93,0.96,1.37,0.95,0.72,0.98,0.97,1.19,,0.89,1.39,1.26,0.72,,
