,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.4,0.51,0.8,1.08,0.88,0.82,0.43,0.52,0.45,0.37,0.45,0.37,0.31,0.55,0.38,0.4
f_1,0.93,0.4,0.71,0.78,0.79,0.71,0.36,0.54,0.37,0.35,0.51,0.37,0.25,0.35,0.31,0.32
d_1,0.91,0.88,0.39,0.82,0.74,0.77,0.42,0.31,0.65,0.37,0.34,0.38,0.31,0.37,0.24,0.35
c_1,0.65,0.94,0.99,0.39,0.93,0.84,0.44,0.39,0.22,0.38,0.32,0.33,0.3,0.33,0.3,0.32
b_1,0.75,0.84,0.89,0.55,0.37,0.94,0.47,0.47,0.38,0.45,0.34,0.49,0.38,0.41,0.35,0.45
a_1,0.89,1.05,0.86,0.76,0.51,0.31,0.46,0.53,0.39,0.43,0.39,0.39,0.34,0.33,0.31,0.48
h_1,0.72,0.77,0.69,0.71,0.77,0.63,0.24,0.42,0.34,0.32,0.32,0.34,0.36,0.26,0.28,0.29
g_1,0.7,0.73,0.78,0.77,0.7,0.64,0.33,0.23,0.3,0.3,0.39,0.34,0.22,0.34,0.31,0.28
d_0,0.46,0.82,0.82,0.82,0.68,0.69,0.43,0.43,0.24,0.3,0.37,0.32,0.27,0.36,0.31,0.34
c_0,0.72,0.76,0.49,1.29,0.71,0.63,0.38,0.42,0.41,0.24,0.36,0.4,0.3,0.34,0.27,0.34
f_0,0.63,1.09,0.7,0.73,0.9,0.65,0.39,0.26,0.31,0.3,0.23,0.3,0.27,0.4,0.19,0.34
b_0,0.69,0.72,0.59,0.95,1.14,0.7,0.37,0.35,0.4,0.19,0.34,0.23,0.3,0.35,0.29,0.35
h_0,0.69,0.75,0.77,0.72,0.63,0.7,0.47,0.38,0.31,0.29,0.36,0.29,0.32,0.3,0.31,0.28
e_0,0.82,1.02,0.7,0.72,0.65,0.75,0.44,0.33,0.37,0.3,0.18,0.3,0.3,0.19,0.26,0.24
g_0,0.71,0.81,0.69,0.78,0.71,0.62,0.31,0.47,0.33,0.31,0.34,0.29,0.22,0.34,0.31,0.31
a_0,0.68,0.75,0.67,0.76,0.9,0.79,0.41,0.42,0.31,0.28,0.31,0.19,0.29,0.35,0.3,0.2
