,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.55,1.45,0.57,0.73,0.62,0.54,0.82,0.89,0.81,0.77,0.92,0.47,0.75,0.68,0.64,0.83
e_1,0.77,11.79,0.52,0.84,0.54,0.62,0.98,2.41,0.83,0.78,0.91,0.99,0.98,0.97,0.69,0.97
d_1,0.79,0.59,14.4,0.38,0.54,0.72,0.94,0.46,0.95,2.82,1.3,1.09,1.26,1.4,1.19,0.98
c_1,0.62,0.55,0.58,15.19,1.59,0.57,0.96,0.95,0.83,0.42,0.71,0.88,0.98,0.84,0.92,0.81
b_1,0.48,0.62,0.76,0.72,14.9,1.88,0.95,0.76,0.87,0.73,0.47,0.89,0.8,0.68,0.75,0.98
a_1,0.65,0.6,0.78,0.75,0.59,21.34,0.88,0.84,1.01,0.93,0.99,1.31,1.23,0.73,1.33,1.24
h_1,1.3,0.61,0.96,0.7,0.67,0.59,3.57,0.95,1.68,1.04,1.08,0.93,0.79,1.01,1.19,1.49
d_0,0.81,0.63,0.37,2.36,0.92,0.58,1.05,2.27,0.92,0.67,0.88,1.16,1.07,0.88,1.3,1.13
g_1,0.59,0.62,1.74,0.69,0.74,0.63,0.84,0.84,4.44,1.01,1.27,2.12,1.13,1.11,1.25,0.79
c_0,0.87,0.61,1.03,0.54,0.62,0.73,1.23,0.85,1.54,2.65,3.26,1.31,1.16,1.72,1.19,1.27
b_0,0.85,0.88,0.97,0.81,0.4,0.38,1.23,1.11,1.24,1.1,2.85,1.25,1.19,3.32,1.35,1.1
f_0,0.54,0.48,1.17,0.75,0.94,0.75,1.03,0.84,1.34,1.28,1.31,2.81,1.65,1.24,3.4,1.51
h_0,1.12,0.57,0.84,0.74,0.69,0.85,0.77,0.91,1.35,1.1,1.36,1.17,0.86,1.09,1.33,1.44
a_0,0.81,0.63,1.06,0.9,0.76,0.35,1.19,0.96,1.0,1.24,1.41,1.39,1.17,3.24,1.1,1.01
e_0,0.83,0.39,1.04,0.64,1.04,0.71,1.36,1.05,1.41,1.15,1.56,1.37,1.16,1.04,3.67,1.76
g_0,0.53,0.51,1.99,0.67,0.85,0.79,1.05,0.74,0.98,1.08,1.21,2.25,1.18,1.38,1.16,0.94
