,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,97.84,75.51,66.75,89.65,99.81,16.33,15.64,14.89,24.08,13.22,,9.74,16.38,17.89,18.94
e_1,45.39,1.15,104.74,86.59,121.92,99.81,23.06,18.59,17.18,30.42,12.32,18.35,8.35,26.46,,12.88
d_1,72.62,113.13,1.15,118.67,80.21,116.44,23.76,,18.11,15.62,19.36,18.35,11.36,28.67,17.0,7.85
c_1,86.45,90.5,92.77,1.15,117.23,139.73,34.09,9.56,,24.08,17.48,17.67,12.03,21.5,17.89,14.64
b_1,93.1,120.67,92.77,56.21,1.15,72.28,22.4,20.85,30.45,34.0,,18.35,13.63,24.57,20.0,14.64
a_1,172.9,139.23,115.96,178.0,56.44,1.15,71.27,43.0,25.77,44.46,30.11,39.75,24.06,,,26.83
h_1,151.29,90.5,135.29,91.54,98.32,80.62,2.0,15.29,18.11,30.42,25.81,22.71,,14.96,17.0,12.38
d_0,82.52,44.69,,82.15,70.88,123.29,25.29,2.99,17.18,24.08,18.07,25.11,13.63,20.24,17.0,13.42
c_0,90.78,97.84,48.46,,89.65,95.27,25.29,27.52,2.96,34.0,16.94,20.74,10.76,15.64,14.17,10.06
g_1,191.11,172.38,111.97,128.16,127.0,110.32,26.13,22.19,37.22,2.0,28.53,43.36,19.48,21.5,,
b_0,129.68,157.39,129.88,160.2,,131.0,29.04,20.85,10.31,38.53,2.9,15.9,15.15,24.57,28.33,16.1
f_0,,144.8,115.96,114.43,254.0,139.73,52.27,27.52,31.9,19.93,23.57,2.96,15.15,14.33,,8.94
h_0,90.78,97.84,95.5,106.8,84.67,87.33,,16.78,20.94,23.12,36.13,15.9,,15.64,14.78,16.1
a_0,172.9,150.83,249.77,178.0,190.5,,52.27,52.92,37.22,41.29,20.07,36.69,34.08,3.1,,18.94
e_0,242.07,,162.35,160.2,234.46,,49.0,38.22,31.9,,41.69,,29.21,,2.76,
g_0,172.9,139.23,141.17,133.5,145.14,83.84,18.23,27.52,27.92,,41.69,20.74,12.78,28.67,,
