,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,0.94,0.95,0.97,1.0,0.69,,0.52,0.95,0.69,0.57,0.49,0.73,0.44,0.43
e_1,0.88,1.0,0.67,0.96,0.99,0.91,0.81,0.8,0.76,0.68,0.73,0.68,0.61,0.48,,0.6
f_1,1.07,1.49,1.0,1.02,0.78,1.14,0.6,0.67,0.84,0.64,,0.67,0.42,0.53,0.45,0.58
c_1,1.05,1.04,0.98,1.0,1.17,0.97,0.63,0.46,0.71,,0.58,0.59,0.78,0.59,,0.79
b_1,1.03,1.01,1.29,0.86,1.0,1.18,0.82,0.57,0.7,0.79,0.54,,0.65,0.67,0.69,0.73
a_1,1.01,1.09,0.88,1.04,0.85,1.0,0.92,0.73,0.8,0.91,0.88,0.83,0.78,,,0.66
h_1,1.45,1.23,1.66,1.58,1.22,1.09,1.0,1.0,1.41,0.84,0.78,0.78,,0.79,0.93,0.89
d_0,,1.24,1.5,2.15,1.75,1.36,1.0,1.0,0.88,0.92,0.92,0.8,0.84,0.83,0.77,0.93
g_1,1.91,1.32,1.19,1.4,1.43,1.24,0.71,1.13,1.0,1.25,1.1,1.04,0.89,,0.85,
c_0,1.05,1.48,1.57,,1.27,1.1,1.2,1.09,0.8,1.0,1.07,1.54,1.09,0.73,0.83,0.94
f_0,1.45,1.37,,1.74,1.84,1.14,1.28,1.09,0.91,0.93,1.0,1.06,0.96,0.81,1.3,0.76
b_0,1.75,1.48,1.5,1.69,,1.21,1.28,1.24,0.97,0.65,0.95,1.0,0.98,1.65,0.94,0.8
h_0,2.03,1.63,2.36,1.29,1.54,1.28,,1.19,1.12,0.92,1.04,1.02,,0.95,0.82,0.98
a_0,1.37,2.09,1.89,1.69,1.49,,1.27,1.2,,1.37,1.23,0.6,1.06,1.0,,0.91
e_0,2.26,,2.23,,1.46,,1.08,1.3,1.18,1.2,0.77,1.06,1.22,,1.0,1.06
g_0,2.33,1.67,1.73,1.27,1.38,1.52,1.12,1.07,,1.07,1.32,1.25,1.02,1.1,0.94,
