,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,1.1,1.43,1.61,3.49,18.6,34.18,30.8,31.4,39.89,48.58,76.92,103.92,134.98,118.99
f_1,1.12,1.0,1.07,1.32,1.59,3.33,13.38,25.34,31.28,30.85,35.49,36.37,54.12,75.09,78.24,101.26
d_1,0.91,0.94,1.0,0.81,1.38,2.55,15.63,25.42,20.97,39.54,36.46,34.23,63.03,68.65,89.77,65.61
c_1,0.7,0.76,1.24,1.0,1.66,2.44,16.73,15.41,24.08,26.27,28.14,38.29,59.08,75.18,81.13,70.7
b_1,0.62,0.63,0.73,0.6,1.0,2.77,12.52,16.81,15.37,21.12,24.09,27.16,35.13,57.56,63.31,69.63
a_1,0.28,0.3,0.4,0.4,0.36,1.0,6.17,9.01,9.49,10.87,14.5,14.82,23.4,30.1,27.53,31.29
h_1,0.05,0.07,0.07,0.06,0.08,0.17,1.0,1.36,1.7,1.69,2.25,2.18,3.45,4.53,4.2,5.67
d_0,0.03,0.04,0.04,0.06,0.06,0.12,0.74,1.0,1.1,1.18,1.47,1.78,2.52,3.0,3.43,4.32
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.59,0.91,1.0,1.1,1.37,2.03,2.05,3.07,3.06,4.13
c_0,0.03,0.03,0.03,0.04,0.04,0.1,0.59,0.86,0.91,1.0,1.61,1.43,1.78,2.9,2.97,2.84
b_0,0.02,0.03,0.03,0.03,0.04,0.07,0.47,0.66,0.74,0.64,1.0,0.98,1.66,3.16,2.46,2.45
f_0,0.02,0.02,0.03,0.03,0.04,0.06,0.48,0.53,0.52,0.7,0.98,1.0,1.38,2.24,3.62,1.74
h_0,0.01,0.02,0.02,0.02,0.03,0.05,0.29,0.39,0.48,0.53,0.59,0.73,1.0,1.18,1.33,1.8
a_0,0.01,0.01,0.02,0.01,0.02,0.04,0.22,0.32,0.35,0.37,0.32,0.45,0.82,1.0,1.09,1.21
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.24,0.28,0.3,0.33,0.43,0.3,0.72,0.95,1.0,1.08
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.17,0.23,0.25,0.35,0.42,0.58,0.55,0.87,0.94,1.0
