,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.55,1.05,0.9,0.71,0.79,0.78,1.08,0.81,1.62,0.86,1.15,1.02,1.13,1.04,0.94,0.9
f_1,0.81,1.54,1.35,0.88,0.74,0.68,0.98,1.15,1.01,0.96,0.98,0.8,1.04,0.83,0.65,0.97
e_1,0.8,0.82,1.56,1.07,0.91,0.72,1.02,1.77,1.05,1.01,0.95,1.04,1.22,0.94,0.79,1.16
c_1,1.03,0.89,0.77,1.57,1.34,0.67,1.01,0.89,0.77,0.9,0.78,0.96,1.13,0.88,0.95,0.99
b_1,0.97,0.98,0.81,0.84,1.62,1.38,1.13,1.15,0.99,0.94,0.95,1.01,1.14,0.75,0.87,0.98
a_1,1.03,1.17,0.98,1.05,0.62,1.73,1.17,1.03,1.07,1.07,1.21,1.12,1.32,0.78,0.95,1.14
h_1,1.15,1.49,1.14,1.09,1.01,0.9,1.81,1.14,1.24,1.42,1.18,1.27,1.19,0.9,1.14,1.59
d_0,0.94,1.07,0.92,1.86,1.22,1.01,1.38,1.72,1.04,1.28,1.33,1.3,1.5,1.14,1.13,1.46
c_0,1.15,1.33,1.16,1.09,0.93,0.89,1.44,1.5,1.75,1.33,1.99,1.39,1.5,1.42,1.19,1.37
g_1,1.63,1.06,0.91,1.19,1.13,0.85,1.17,1.16,1.31,1.9,1.34,1.82,1.36,0.91,1.26,1.18
b_0,1.3,1.38,1.14,1.32,0.84,0.75,1.44,1.3,1.3,1.29,1.83,1.32,1.7,2.0,1.35,1.38
f_0,1.43,1.11,1.05,1.23,1.26,0.85,1.33,1.23,1.52,1.24,1.48,1.85,1.68,1.24,2.25,1.28
h_0,1.35,1.52,1.1,1.25,1.15,0.96,1.27,1.36,1.37,1.75,1.4,1.31,1.32,1.23,1.2,1.75
a_0,1.3,1.36,1.22,1.3,1.23,0.71,1.72,1.51,1.48,1.59,1.37,1.35,1.73,1.87,1.32,1.46
e_0,1.36,1.52,1.11,1.22,1.34,0.88,1.34,1.46,1.54,1.34,1.32,1.31,1.87,1.33,1.87,1.65
g_0,1.85,1.18,1.02,1.31,1.25,1.06,1.32,1.16,1.56,1.2,1.39,1.89,1.44,1.33,1.43,1.31
