,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.21,0.24,0.24,0.22,0.2,0.18,0.44,0.44,0.53,0.79,0.39,0.39,0.32,0.58,0.08,0.49
f_1,0.46,2.29,0.19,0.23,0.17,0.16,0.41,0.31,0.42,0.48,0.09,0.41,0.38,0.53,0.27,0.45
d_1,0.2,0.21,2.31,0.16,0.22,0.2,0.41,0.42,0.9,0.15,0.47,0.45,0.36,0.44,0.48,0.49
c_1,0.25,0.18,0.21,2.48,0.38,0.15,0.48,0.36,0.06,0.45,0.49,0.36,0.39,0.49,0.35,0.46
b_1,0.22,0.27,0.21,0.21,2.58,0.28,0.46,0.38,0.41,0.43,0.47,0.1,0.26,0.69,0.31,0.46
a_1,0.31,0.21,0.21,0.17,0.18,3.04,0.42,0.35,0.47,0.42,0.45,0.39,0.1,0.68,0.43,0.46
h_1,0.33,0.57,0.39,0.38,0.29,0.28,2.76,0.83,0.79,0.82,0.73,0.97,0.87,0.42,0.73,1.3
g_1,0.34,0.39,0.58,0.49,0.34,0.24,0.43,2.95,0.73,0.55,1.09,0.86,0.67,1.04,0.37,0.46
c_0,0.33,0.47,0.54,,0.26,0.29,0.78,0.67,2.21,0.68,0.92,1.89,0.81,0.92,0.85,1.18
d_0,0.41,0.5,0.12,0.72,0.31,0.19,0.73,0.79,0.8,2.29,0.73,0.86,0.77,1.23,0.63,0.83
f_0,0.32,0.14,0.57,0.47,0.29,0.3,0.78,0.72,0.99,1.15,2.58,0.88,0.68,1.09,1.74,1.04
b_0,0.35,0.45,0.46,0.47,0.08,0.26,0.81,0.72,0.92,0.88,1.05,2.48,1.57,1.03,0.69,1.09
a_0,0.39,0.59,0.48,0.39,0.27,0.09,0.72,0.71,0.82,0.85,0.79,0.72,2.85,1.03,0.81,1.02
h_0,0.34,0.67,0.44,0.32,0.34,0.28,0.26,0.87,0.81,0.7,0.67,0.75,0.61,0.43,0.51,1.02
e_0,0.11,0.54,0.42,0.41,0.49,0.26,0.76,0.66,0.95,0.97,0.81,1.09,0.72,1.11,3.0,0.96
g_0,0.35,0.34,0.75,0.36,0.26,0.24,0.53,0.22,0.74,0.65,1.15,0.87,0.81,0.94,0.83,0.43
