,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.08,2.05,2.07,2.1,1.93,0.69,0.94,0.67,0.7,0.61,1.16,0.44,0.56,0.73,0.57
d_1,1.97,0.66,2.52,2.27,2.01,1.67,0.89,0.64,0.82,1.89,0.86,0.68,0.66,0.81,0.64,0.37
e_1,1.39,2.14,0.66,2.31,2.04,1.86,1.0,0.98,0.84,0.87,0.72,0.85,0.73,0.65,1.81,1.0
c_1,2.08,2.31,2.09,0.64,2.85,1.99,0.83,1.0,1.5,0.48,0.81,0.71,0.67,0.78,0.67,0.74
b_1,2.45,2.43,2.4,1.26,0.62,2.98,1.26,0.9,1.04,0.97,1.19,1.0,0.61,0.91,0.79,0.62
a_1,2.94,2.73,3.04,2.54,1.38,0.57,1.63,1.45,0.89,0.93,1.03,1.02,0.93,3.3,0.93,0.97
h_1,3.15,2.65,2.58,3.03,2.24,2.36,0.59,1.25,0.98,0.93,0.83,0.82,1.23,0.84,0.78,0.7
g_1,3.12,3.2,2.72,2.95,3.17,2.23,1.04,0.57,1.01,1.14,0.93,0.91,0.68,1.25,0.84,1.29
c_0,3.22,1.78,2.79,6.12,2.87,2.75,1.42,1.6,0.65,1.38,1.39,0.98,1.07,1.23,1.1,0.83
d_0,3.21,5.15,1.73,3.52,2.4,3.05,1.56,1.86,1.18,0.66,1.1,1.22,0.87,0.95,0.97,1.0
b_0,3.92,2.35,2.4,3.44,6.86,2.71,1.48,1.47,0.73,1.22,0.64,0.93,0.96,1.25,0.99,0.87
f_0,7.26,3.37,3.06,2.96,2.73,2.64,1.45,1.07,1.12,1.08,1.14,0.62,1.1,1.12,1.14,0.63
h_0,3.83,3.15,2.95,3.39,3.25,2.42,2.22,1.77,1.01,1.23,1.2,1.01,1.31,1.06,1.25,1.01
a_0,4.41,2.94,3.54,3.76,3.1,,1.82,1.38,1.03,1.45,0.78,1.13,1.09,0.59,1.38,1.07
e_0,3.9,3.38,4.93,3.48,3.75,3.09,1.56,1.82,1.29,1.14,1.35,0.7,1.04,0.99,0.58,1.04
g_0,4.57,4.29,2.7,2.97,3.34,3.58,1.42,2.52,1.37,1.48,1.34,1.43,0.86,1.13,1.25,1.51
