,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.45,1.9,1.81,1.5,2.02,1.98,0.39,0.44,0.43,0.63,0.36,0.77,0.2,0.37,0.33,0.36
e_1,1.07,0.44,2.57,1.89,2.39,2.46,0.63,0.43,0.38,0.67,0.42,0.51,0.33,1.06,0.43,0.34
c_1,2.25,1.6,0.41,2.78,2.07,2.25,0.75,0.23,0.91,0.5,0.4,0.36,0.3,0.4,0.37,0.3
d_1,2.25,2.2,2.52,0.4,2.12,1.99,0.51,1.16,0.4,0.39,0.47,0.37,0.32,0.3,0.38,0.17
b_1,2.62,3.35,1.11,2.44,0.39,2.04,0.67,0.53,0.56,0.76,1.61,0.51,0.41,0.39,0.53,0.37
a_1,3.28,2.81,2.89,3.74,1.19,0.33,0.89,0.75,0.6,0.79,1.04,0.58,0.39,0.65,7.1,0.42
h_1,3.18,3.64,3.31,3.31,3.56,2.6,0.33,0.82,0.6,1.11,0.6,0.67,0.97,0.6,0.82,0.54
d_0,3.8,1.98,3.93,7.47,4.34,3.07,1.14,0.4,0.86,1.18,0.83,0.75,0.5,0.66,0.58,0.62
c_0,4.14,3.91,10.03,1.95,4.38,3.16,1.07,0.94,0.38,1.13,0.77,0.86,0.47,0.76,0.71,0.48
g_1,4.34,3.91,4.32,3.84,4.43,2.83,0.82,0.83,0.82,0.3,0.82,0.68,0.43,0.88,1.04,0.66
b_0,4.14,3.13,6.96,3.67,11.93,3.74,1.1,0.84,0.41,1.12,0.34,0.73,0.51,0.91,0.71,0.52
f_0,8.28,4.63,3.94,3.76,4.14,3.17,1.19,0.84,0.8,0.71,0.87,0.34,0.67,0.71,0.87,0.36
h_0,5.18,3.81,4.67,3.62,4.4,4.82,2.3,0.97,0.86,1.25,0.84,0.93,1.01,0.92,0.77,0.77
e_0,8.44,7.95,4.34,5.06,4.42,4.85,1.25,0.85,1.12,1.16,0.97,0.5,0.86,0.33,0.91,0.67
a_0,5.76,4.31,6.75,4.55,7.71,,1.32,1.19,0.84,1.61,0.45,0.87,0.77,0.93,0.32,0.61
g_0,5.17,5.58,6.68,4.75,5.58,5.5,1.1,1.14,0.96,3.72,1.1,1.04,0.56,0.82,1.0,1.23
