,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.09,1.5,2.42,2.4,2.43,2.48,0.73,0.87,0.49,0.6,0.49,0.65,0.35,0.42,0.68,0.37
f_1,2.32,1.09,2.25,2.49,2.38,2.09,0.55,0.75,0.48,0.52,0.49,0.58,0.25,0.45,0.46,0.36
d_1,2.65,2.48,1.08,2.87,2.22,1.95,0.62,0.44,0.47,0.75,0.5,0.47,0.32,0.39,0.45,0.23
c_1,2.16,2.75,3.45,1.09,2.76,2.3,0.79,0.93,0.71,0.34,0.59,0.55,0.43,0.53,0.44,0.41
b_1,2.95,3.82,3.88,1.88,1.11,3.33,0.94,0.97,0.92,0.62,0.94,0.67,0.52,0.61,0.65,0.52
a_1,5.13,5.54,5.57,4.82,2.37,1.13,1.73,1.48,1.12,1.22,1.56,1.14,0.85,1.23,1.22,0.88
h_1,8.6,8.57,8.15,9.37,8.41,8.3,1.49,2.51,1.84,2.0,1.77,1.66,1.63,1.62,1.7,1.2
g_1,11.88,11.37,9.74,11.61,10.17,9.81,2.41,1.5,2.04,2.46,2.4,2.27,1.4,2.27,2.13,1.88
c_0,11.5,11.95,7.09,18.79,12.15,10.52,3.23,2.9,1.77,3.4,2.56,2.22,1.6,1.97,2.16,1.45
d_0,7.49,11.41,15.72,12.1,13.64,10.4,3.68,4.1,2.45,1.77,2.35,2.34,1.97,2.22,2.08,1.97
b_0,11.88,11.95,10.13,15.89,16.21,10.72,3.6,3.57,1.69,3.07,1.75,2.34,1.91,2.37,2.24,1.73
f_0,12.41,16.9,12.54,15.97,16.51,12.33,3.79,2.71,2.77,3.0,2.86,1.8,1.88,2.75,2.72,1.3
h_0,18.14,19.18,18.04,19.6,16.11,12.98,6.61,4.57,3.41,4.18,3.53,3.58,3.04,3.18,3.23,2.66
a_0,20.4,19.6,17.42,21.15,24.99,23.32,5.72,5.7,3.41,4.05,2.54,3.96,2.73,2.33,3.18,2.4
e_0,26.16,32.85,18.61,22.34,21.74,16.28,5.37,5.24,3.72,4.08,4.21,2.24,2.55,3.9,2.13,2.23
g_0,21.49,23.97,21.69,25.97,21.22,18.36,4.87,7.4,4.02,5.32,4.47,4.58,2.43,3.57,3.68,3.34
