,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.42,0.39,0.46,0.47,0.39,0.1,0.13,0.09,0.1,0.09,0.12,0.06,0.1,0.07,0.1
d_1,0.52,0.16,0.49,0.47,0.41,0.38,0.13,0.08,0.08,0.18,0.08,0.09,0.06,0.1,0.05,0.08
e_1,0.28,0.48,0.16,0.52,0.49,0.43,0.13,0.15,0.11,0.1,0.1,0.11,0.07,0.09,0.08,0.15
c_1,0.41,0.59,0.38,0.14,0.47,0.44,0.14,0.13,0.13,0.05,0.08,0.09,0.06,0.08,0.07,0.09
b_1,0.51,0.45,0.49,0.25,0.13,0.46,0.14,0.12,0.12,0.09,0.18,0.1,0.07,0.1,0.07,0.08
a_1,0.5,0.47,0.51,0.47,0.23,0.1,0.14,0.15,0.1,0.1,0.15,0.09,0.07,0.18,0.07,0.09
h_1,0.41,0.36,0.4,0.44,0.4,0.36,0.06,0.11,0.08,0.09,0.08,0.07,0.08,0.07,0.06,0.07
g_1,0.48,0.36,0.35,0.42,0.41,0.35,0.09,0.05,0.08,0.08,0.08,0.08,0.05,0.08,0.07,0.09
c_0,0.43,0.23,0.4,0.72,0.46,0.41,0.12,0.1,0.05,0.11,0.08,0.09,0.06,0.09,0.05,0.08
d_0,0.36,0.59,0.24,0.44,0.45,0.44,0.14,0.14,0.09,0.05,0.08,0.08,0.06,0.08,0.06,0.09
b_0,0.41,0.29,0.39,0.6,0.58,0.36,0.12,0.09,0.04,0.08,0.04,0.08,0.06,0.08,0.05,0.08
f_0,0.54,0.36,0.36,0.43,0.39,0.4,0.12,0.07,0.08,0.08,0.07,0.04,0.06,0.06,0.04,0.07
h_0,0.39,0.39,0.35,0.44,0.42,0.35,0.16,0.1,0.08,0.08,0.07,0.08,0.08,0.06,0.06,0.07
a_0,0.41,0.36,0.4,0.41,0.56,0.54,0.1,0.11,0.06,0.08,0.04,0.08,0.05,0.03,0.05,0.09
g_0,0.44,0.33,0.41,0.42,0.48,0.37,0.09,0.14,0.08,0.08,0.07,0.08,0.04,0.08,0.07,0.07
e_0,0.5,0.4,0.55,0.38,0.34,0.39,0.12,0.09,0.08,0.07,0.09,0.04,0.05,0.07,0.05,0.03
