,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.13,0.71,0.81,0.63,0.71,0.65,0.97,0.59,0.99,1.68,1.12,1.19,1.03,1.12,1.18,1.07
e_1,0.6,2.07,0.85,0.96,0.75,0.82,1.0,1.61,0.97,0.81,0.9,1.0,1.09,0.88,0.57,0.87
f_1,0.78,1.27,2.16,0.72,0.54,0.69,0.85,0.92,0.87,0.9,0.6,0.9,0.88,0.97,0.59,0.76
c_1,0.75,0.71,0.7,2.23,1.32,0.59,0.91,0.96,0.78,0.54,0.91,0.7,1.0,0.87,0.92,1.11
b_1,0.76,0.71,0.66,0.8,2.59,1.42,0.99,0.75,0.81,0.87,0.94,0.67,0.83,0.72,1.01,1.14
a_1,0.76,0.73,0.75,0.73,0.79,3.33,0.99,0.98,1.19,1.05,1.12,1.11,1.04,0.6,1.13,0.92
h_1,0.88,0.82,1.19,0.83,0.74,0.62,2.07,1.0,1.39,1.01,0.97,0.99,0.77,1.18,1.07,1.2
d_0,0.62,0.8,0.82,1.47,0.96,0.81,1.05,1.49,0.86,0.66,1.04,0.88,1.0,0.84,1.08,0.96
g_1,1.29,0.7,0.71,0.78,0.76,0.67,0.88,1.01,2.53,1.0,1.58,1.09,1.14,1.34,1.41,0.8
c_0,1.0,0.82,0.99,0.67,0.56,0.71,1.17,1.06,1.12,1.79,1.06,2.13,1.2,1.37,1.36,1.22
f_0,0.99,0.68,0.68,0.91,0.92,0.86,1.02,1.12,1.14,1.01,1.92,1.03,1.15,1.24,2.28,1.05
b_0,0.99,0.85,0.99,0.94,0.41,0.56,1.01,1.11,1.0,1.0,1.15,1.93,1.22,2.38,1.22,1.05
h_0,1.02,0.82,1.17,0.84,0.71,0.75,0.73,1.02,1.22,0.96,1.02,1.04,0.81,1.05,1.05,1.31
a_0,1.0,0.8,1.02,0.84,0.73,0.44,1.19,1.02,1.07,1.17,1.24,0.96,1.13,2.32,1.42,1.05
e_0,1.14,0.42,0.99,0.89,0.87,0.78,1.22,1.01,1.02,1.06,1.09,1.06,1.24,1.25,2.39,1.18
g_0,1.39,0.68,0.74,0.81,0.76,0.81,0.98,0.84,0.82,0.99,1.76,1.16,1.07,1.09,1.16,1.0
