,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.65,1.01,0.98,0.83,0.86,0.77,0.42,0.39,0.31,0.4,0.36,0.32,0.27,0.31,0.2,0.31
f_1,0.91,0.65,1.03,0.99,0.93,0.78,0.35,0.34,0.43,0.38,0.32,0.36,0.24,0.3,0.29,0.26
e_1,1.04,0.7,0.64,1.05,1.02,0.87,0.43,0.38,0.48,0.42,0.37,0.42,0.3,0.33,0.33,0.39
c_1,1.18,1.09,0.85,0.62,1.23,0.83,0.41,0.43,0.42,0.26,0.31,0.34,0.3,0.34,0.3,0.32
b_1,1.12,1.21,1.0,0.67,0.61,1.21,0.58,0.45,0.49,0.36,0.52,0.39,0.32,0.39,0.34,0.37
a_1,1.33,1.35,1.18,1.27,0.7,0.57,0.6,0.45,0.61,0.45,0.53,0.44,0.41,0.49,0.41,0.39
h_1,1.44,1.65,1.54,1.83,1.38,1.3,0.54,0.54,0.69,0.62,0.52,0.56,0.48,0.47,0.45,0.48
c_0,1.24,1.89,1.91,1.89,1.52,1.54,0.79,0.55,0.73,0.76,0.78,0.61,0.54,0.62,0.47,0.58
g_1,1.73,1.71,1.6,1.76,1.64,1.35,0.59,0.58,0.52,0.62,0.61,0.59,0.44,0.57,0.46,0.56
d_0,2.06,1.59,1.21,1.91,1.81,1.57,0.79,0.63,0.86,0.56,0.7,0.64,0.52,0.61,0.55,0.58
b_0,1.53,1.89,1.82,2.39,1.73,1.48,0.87,0.46,0.75,0.68,0.53,0.71,0.59,0.75,0.53,0.61
f_0,1.85,2.12,1.7,1.96,1.64,1.67,0.83,0.7,0.62,0.71,0.66,0.52,0.58,0.67,0.4,0.76
h_0,1.99,2.06,1.89,1.92,1.86,1.62,0.97,0.71,0.86,0.76,0.68,0.72,0.64,0.61,0.63,0.56
a_0,1.95,2.26,2.05,2.38,2.08,1.9,0.97,0.62,0.88,0.83,0.48,0.77,0.63,0.51,0.6,0.71
g_0,2.22,2.32,2.07,2.19,1.81,1.6,0.85,0.8,0.98,0.81,0.74,0.78,0.49,0.66,0.62,0.72
e_0,2.08,2.55,2.16,1.91,1.96,1.89,0.98,0.8,0.74,0.88,0.67,0.48,0.68,0.7,0.52,0.54
