,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.28,0.52,0.52,0.72,0.5,0.36,1.0,1.05,2.17,0.98,1.06,1.36,1.48,0.6,1.04,1.32
d_1,0.59,2.34,0.65,0.4,0.49,0.45,1.06,1.11,0.56,2.17,1.45,1.23,1.55,1.04,1.13,1.24
f_1,1.07,0.56,2.37,0.54,0.39,0.36,0.98,0.76,1.15,1.09,1.12,0.33,1.1,0.58,0.88,1.16
c_1,0.54,0.57,0.55,2.49,1.01,0.43,0.9,0.97,1.16,0.38,0.81,1.06,1.48,0.74,0.75,1.02
b_1,0.48,0.58,0.63,0.49,2.62,0.93,1.06,1.01,1.17,1.13,0.52,1.07,1.56,0.98,0.49,1.22
a_1,0.54,0.64,0.67,0.62,0.44,3.02,1.09,1.0,1.03,1.22,1.22,1.0,1.46,1.07,0.41,1.28
h_1,0.67,0.77,0.92,0.64,0.66,0.5,3.14,1.61,1.23,1.39,1.21,1.2,1.11,1.33,1.14,2.26
g_1,0.63,1.12,0.58,0.64,0.65,0.52,1.1,3.12,1.34,1.39,1.37,2.14,1.62,1.36,1.01,1.04
d_0,0.72,0.44,0.62,1.31,0.69,0.59,1.26,1.17,2.66,1.0,0.92,1.39,1.76,1.35,0.92,1.86
c_0,0.75,0.89,0.81,0.44,0.47,0.52,1.28,1.32,1.23,2.75,2.65,1.41,2.05,1.41,1.64,1.45
b_0,0.68,0.79,0.84,0.67,0.29,0.49,1.35,1.11,1.51,1.58,2.97,1.39,2.16,1.24,2.66,1.65
f_0,0.62,0.93,0.44,0.77,0.65,0.54,1.25,1.31,1.68,1.33,1.24,2.98,2.08,2.6,1.09,2.07
h_0,0.57,0.79,1.07,0.65,0.6,0.56,0.72,1.77,1.47,1.41,1.51,1.37,0.96,1.34,1.01,2.05
e_0,0.37,0.87,0.72,0.7,0.69,0.61,1.27,1.52,1.79,1.39,1.5,1.39,2.24,3.2,1.29,2.0
a_0,0.66,0.78,0.81,0.8,0.59,0.18,1.4,1.16,1.7,1.27,1.69,1.54,2.21,1.3,3.33,1.8
g_0,0.58,1.18,0.61,0.7,0.58,0.49,1.39,0.91,1.41,1.26,1.27,2.13,2.03,1.48,1.11,0.97
