,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,8983.21,1130.53,1167.03,2036.92,4058.63,13225.31,1751062.41,7172468.36,3381805.69,1681014.08,8121611.35,11532962.88,35824069.78,38759402.98,71324462.21,73249371.36
f_1,832.67,12052.55,2689.85,2310.2,2992.71,12653.02,1534602.18,3387106.39,2661553.74,5765837.7,8151536.48,2598742.67,32896669.97,32331574.38,49658445.82,51955644.89
e_1,1037.56,1315.42,14391.59,2972.59,3960.8,14630.88,1275085.04,3288117.27,2197288.81,8782371.18,7560892.98,11752966.4,34207798.47,31755626.91,55709892.78,13890655.35
c_1,1056.64,1193.9,1323.5,32981.87,7299.56,11778.34,982299.01,552213.64,2881525.65,4595225.3,5181574.63,10266177.63,36635768.02,29265135.66,67429534.86,63938905.55
b_1,1060.34,1108.34,1334.95,2275.61,48793.14,26468.76,1424396.15,3735532.77,2513387.99,4405851.19,2180985.07,14616963.61,36415571.81,28062894.51,64993890.91,50572084.02
a_1,948.25,1641.31,1221.09,2816.07,2596.24,253541.27,1317848.3,3764642.6,3088093.59,4170308.09,10781615.92,11869180.04,36249048.13,6570919.19,73746001.36,37027412.55
h_1,1653.32,2815.84,2408.75,5383.25,4890.1,19624.19,9577951.2,6454749.43,8477279.37,6803078.35,11790651.29,20866500.09,27335688.07,71720883.97,148108164.78,80580578.31
c_0,1773.69,2236.64,2553.29,2604.91,6159.11,22626.47,3140194.19,17322366.59,5938059.22,8907420.38,26398016.59,22163288.23,65327661.33,103686877.46,161767769.76,104733186.98
g_1,2721.56,1726.2,2060.16,5586.08,5316.69,22243.53,2329848.04,5288643.61,25870570.79,5381685.9,11952318.95,33144770.78,60358198.1,58286136.26,66294543.05,98229350.51
d_0,445.23,2277.73,2570.11,10923.59,7650.27,23213.55,2293299.84,5250043.21,5355126.17,22833790.79,13736691.98,18769866.11,62334210.54,49563504.78,73601684.33,71938972.96
b_0,1453.62,2698.63,2367.36,6493.71,1498.31,25857.64,2800731.36,7197585.33,5965090.29,7076568.94,39748309.33,24790685.81,67972480.84,149315058.28,136095308.77,104172934.89
f_0,2129.36,1153.91,1683.17,6238.0,6454.67,20610.89,2497773.01,7751729.03,8473686.61,9919572.34,13491472.67,67407237.99,64191468.21,86486511.86,129426574.52,218261772.25
h_0,1841.81,3220.14,2379.07,4442.83,5852.05,18163.48,1063974.94,5482848.79,6829740.53,9000063.56,11692522.55,21048168.35,21379662.41,80080333.7,156973213.62,103882921.15
a_0,2077.38,2118.45,2609.85,4949.95,6797.48,,3510670.52,7108285.26,5277427.38,8963857.58,13287695.98,23008222.98,82287344.93,269521822.05,157887484.13,127611348.13
g_0,2645.93,1802.35,1892.91,4729.42,5854.01,19824.28,2260678.94,5389945.69,4013813.48,7372969.73,11819242.56,35009239.8,57112496.57,70594377.94,53814006.37,109579816.47
e_0,1780.41,2889.06,850.8,4820.16,7311.93,26189.98,3003928.42,6951823.09,7951422.01,10510477.99,15163322.03,21864081.1,61824666.58,93890736.39,101357741.86,413869615.91
