,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.47,1.59,1.47,2.02,1.66,1.61,3.23,5.24,3.47,3.32,3.76,3.88,4.28,3.82,3.55,4.57
f_1,2.25,2.49,1.49,1.72,1.55,1.68,2.69,3.69,3.24,3.35,3.58,2.95,4.07,3.39,2.81,4.36
d_1,1.63,1.82,2.6,1.39,1.68,1.72,3.18,2.9,3.27,5.37,4.16,3.78,4.74,4.12,4.2,4.27
c_1,1.48,1.61,1.76,2.59,2.43,1.61,3.29,3.07,3.19,2.91,3.02,3.61,4.75,3.64,4.07,4.25
b_1,1.66,1.63,1.72,1.6,2.78,2.69,3.17,3.45,2.93,3.61,3.34,3.58,4.23,3.1,3.86,4.6
a_1,1.58,1.78,1.92,1.63,1.45,3.31,3.55,3.96,3.43,3.79,4.41,4.02,4.84,3.5,3.92,4.62
h_1,1.73,2.25,1.78,1.67,1.58,1.62,4.35,3.46,3.56,3.1,3.82,3.42,4.43,4.13,3.77,5.2
d_0,1.61,1.79,1.51,2.55,1.79,1.56,3.5,4.39,3.32,2.79,3.77,3.8,4.85,3.36,3.86,4.73
g_1,1.55,1.66,2.23,1.68,1.83,1.58,3.35,3.33,4.74,3.72,3.63,4.89,4.2,4.16,4.38,4.54
c_0,1.77,1.97,1.72,1.56,1.38,1.61,3.74,3.92,3.23,4.68,5.96,4.08,4.75,4.61,4.54,4.66
b_0,1.78,1.89,1.78,1.95,1.46,1.48,3.52,3.89,3.55,3.13,4.76,3.72,4.89,6.66,4.13,4.65
f_0,1.55,1.71,1.95,1.74,1.8,1.63,3.92,3.88,3.12,3.5,4.29,4.88,4.93,4.37,6.74,4.76
h_0,1.54,2.08,1.86,1.67,1.7,1.61,3.0,3.3,4.02,3.93,4.01,4.03,4.16,3.76,3.94,5.32
a_0,1.57,1.9,1.81,1.79,1.68,1.68,3.71,3.93,3.74,3.74,3.42,4.03,5.26,5.49,4.48,4.92
e_0,1.49,2.14,1.76,1.77,1.78,1.65,3.72,3.65,3.12,3.44,3.99,3.27,5.6,4.12,5.43,4.87
g_0,1.54,1.57,2.2,1.78,1.78,1.71,3.5,3.14,2.97,3.58,4.18,5.09,4.71,3.74,4.36,4.59
