,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.37,0.6,0.48,0.71,0.62,0.57,2.05,6.01,2.21,2.41,2.99,3.02,4.59,1.15,3.2,4.36
f_1,1.01,5.76,0.53,0.6,0.62,0.57,2.18,2.41,1.73,2.59,3.25,0.56,4.23,2.66,3.28,3.67
d_1,0.55,0.58,6.48,0.47,0.58,0.49,2.38,0.71,2.21,6.08,3.64,3.53,4.56,3.61,2.77,3.58
c_1,0.49,0.56,0.64,6.68,1.07,0.69,2.47,2.13,2.16,0.52,2.58,3.02,4.07,2.37,3.21,5.13
b_1,0.65,0.53,0.58,0.55,7.27,1.21,2.2,2.96,2.29,1.75,0.47,3.62,5.27,2.68,1.9,4.62
a_1,0.52,0.74,0.67,0.56,0.45,11.11,2.1,3.06,1.8,4.11,2.95,2.78,4.38,3.18,,4.9
h_1,0.86,1.56,1.13,1.11,1.08,0.9,15.69,5.05,4.6,4.39,5.12,3.77,1.98,4.07,4.38,7.68
d_0,1.09,1.09,0.3,2.13,1.08,0.78,3.6,13.11,3.82,4.22,4.24,6.15,5.97,4.47,5.34,6.84
g_1,0.93,0.86,1.73,1.01,1.01,0.97,2.91,3.98,19.32,4.39,4.39,8.66,7.0,6.26,6.94,2.23
c_0,1.05,1.36,1.48,0.5,0.76,0.76,4.53,3.89,4.1,14.58,10.1,5.21,7.49,6.59,5.92,8.82
b_0,1.48,1.22,1.28,0.96,0.21,0.7,3.91,4.81,4.05,5.57,16.34,5.59,8.12,6.73,12.88,7.27
f_0,1.29,0.56,1.04,0.96,1.01,1.17,4.47,5.2,5.27,6.09,6.27,17.46,7.88,12.12,3.51,9.32
h_0,1.11,1.49,1.23,1.01,0.7,0.8,1.83,5.12,5.2,5.02,5.38,4.62,3.64,6.13,4.54,11.59
e_0,0.3,1.63,1.09,1.37,0.97,0.84,5.28,5.17,3.93,6.26,5.36,6.79,7.45,24.49,5.58,7.77
a_0,1.01,1.38,1.37,1.24,0.62,,4.38,4.61,5.82,4.55,6.18,4.21,7.86,7.64,25.26,7.71
g_0,0.75,0.94,1.64,1.47,1.11,0.68,3.74,4.29,,5.04,3.78,7.61,6.38,5.49,4.1,2.93
