,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.9,0.22,0.18,0.28,0.17,0.11,0.21,0.4,0.14,0.17,0.19,0.2,0.19,0.09,0.12,0.15
f_1,0.47,0.89,0.18,0.14,0.14,0.1,0.18,0.19,0.15,0.22,0.09,0.15,0.2,0.08,0.14,0.13
d_1,0.19,0.25,0.9,0.16,0.19,0.12,0.2,0.1,0.18,0.38,0.18,0.18,0.18,0.12,0.11,0.17
c_1,0.17,0.19,0.19,0.89,0.38,0.12,0.21,0.21,0.14,0.07,0.19,0.11,0.2,0.11,0.09,0.17
b_1,0.2,0.19,0.22,0.21,0.88,0.27,0.18,0.2,0.14,0.17,0.18,0.08,0.2,0.12,0.08,0.17
a_1,0.21,0.29,0.23,0.22,0.15,0.88,0.17,0.22,0.17,0.13,0.17,0.15,0.25,0.14,0.08,0.15
h_1,0.23,0.38,0.29,0.26,0.2,0.13,0.57,0.22,0.29,0.23,0.2,0.2,0.15,0.14,0.17,0.29
d_0,0.24,0.24,0.16,0.48,0.23,0.14,0.25,0.45,0.2,0.16,0.23,0.22,0.22,0.15,0.18,0.21
g_1,0.24,0.24,0.39,0.26,0.21,0.16,0.22,0.19,0.58,0.23,0.34,0.17,0.21,0.14,0.14,0.13
c_0,0.32,0.29,0.32,0.16,0.14,0.16,0.25,0.29,0.19,0.47,0.23,0.4,0.24,0.14,0.21,0.24
f_0,0.21,0.18,0.28,0.32,0.25,0.17,0.25,0.27,0.23,0.24,0.45,0.2,0.23,0.31,0.16,0.21
b_0,0.28,0.36,0.24,0.3,0.1,0.09,0.27,0.28,0.24,0.23,0.2,0.45,0.24,0.18,0.38,0.22
h_0,0.26,0.36,0.27,0.25,0.19,0.16,0.19,0.28,0.27,0.23,0.2,0.19,0.17,0.14,0.14,0.26
e_0,0.18,0.31,0.24,0.28,0.18,0.14,0.3,0.26,0.26,0.25,0.21,0.22,0.34,0.42,0.22,0.24
a_0,0.31,0.26,0.28,0.28,0.2,0.08,0.29,0.27,0.26,0.28,0.21,0.23,0.21,0.13,0.37,0.21
g_0,0.23,0.24,0.44,0.23,0.22,0.14,0.23,0.21,0.14,0.28,0.36,0.18,0.23,0.15,0.18,0.15
