,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.44,1.22,0.6,0.67,0.54,0.53,0.85,0.84,0.82,0.85,0.4,0.91,0.94,0.54,0.85,0.8
e_1,0.71,2.56,0.6,0.8,0.52,0.58,0.93,0.93,0.76,1.79,1.15,1.1,0.98,0.61,0.93,1.01
d_1,0.66,0.56,2.65,0.52,0.75,0.65,0.89,0.85,1.83,0.4,1.04,1.01,0.93,1.14,0.92,0.99
c_1,0.66,0.6,0.62,3.03,1.19,0.62,0.85,0.88,0.34,0.89,0.83,0.75,0.88,0.82,0.81,0.87
b_1,0.75,0.54,0.76,0.55,3.1,1.12,0.86,0.83,0.8,0.87,1.01,0.46,0.94,0.88,0.73,0.82
a_1,0.77,0.49,0.71,0.7,0.63,4.87,1.11,0.79,1.11,0.83,0.78,0.96,0.94,1.35,0.57,0.94
h_1,1.08,0.71,0.78,0.84,0.79,0.73,2.65,1.28,0.92,0.93,1.16,0.97,0.71,0.94,1.26,1.75
g_1,0.64,0.65,1.27,0.74,0.72,0.75,1.11,3.17,0.92,0.91,1.85,1.2,1.11,1.1,1.13,0.78
c_0,0.88,0.91,0.84,0.54,0.56,0.75,1.11,1.21,2.07,1.18,1.4,2.36,1.37,1.43,1.52,1.32
d_0,0.8,0.8,0.49,1.62,0.72,0.59,1.11,1.12,0.62,2.12,1.06,1.06,1.22,1.28,1.05,1.22
f_0,0.47,0.58,1.01,0.97,0.84,0.74,1.07,1.18,1.26,1.17,2.42,1.31,1.48,2.62,1.37,1.28
b_0,0.81,0.85,0.77,0.94,0.5,0.65,1.25,1.27,1.04,1.23,1.27,2.23,1.45,1.38,2.89,1.35
h_0,1.04,0.93,0.86,0.99,0.57,0.65,0.7,1.5,1.22,1.11,1.13,1.14,0.75,0.95,1.25,1.53
e_0,1.03,0.52,0.89,0.76,0.77,0.92,1.31,1.11,1.15,0.9,0.93,1.23,1.54,3.33,1.5,1.42
a_0,0.82,0.73,0.93,0.81,0.76,0.42,1.3,1.27,1.43,1.0,1.31,1.24,1.38,1.44,3.04,1.68
g_0,0.6,0.74,1.3,0.87,0.66,0.72,0.93,0.9,1.23,0.96,1.85,1.33,1.4,1.47,1.38,0.7
