,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,1.22,1.16,1.55,3.18,15.68,30.0,31.88,31.33,39.29,50.41,61.62,78.93,75.38,107.24
e_1,0.75,1.0,1.45,1.1,1.65,2.8,17.91,37.84,42.11,33.56,40.05,54.15,66.09,75.29,89.77,110.56
c_1,0.82,0.69,1.0,1.2,1.75,3.09,14.27,25.03,19.65,19.4,30.43,36.36,58.15,64.04,88.72,83.39
d_1,0.85,0.91,0.83,1.0,1.42,2.53,14.4,20.05,24.08,35.86,38.02,41.26,63.83,67.5,89.02,66.22
b_1,0.65,0.6,0.57,0.71,1.0,3.31,11.65,19.0,21.74,25.36,22.05,30.84,44.12,43.87,61.58,72.35
a_1,0.31,0.35,0.32,0.4,0.3,1.0,5.96,8.47,7.88,8.71,12.37,12.78,20.77,17.92,25.03,25.78
h_1,0.07,0.06,0.07,0.07,0.08,0.16,1.0,1.89,1.72,1.76,2.33,2.36,4.77,4.25,5.24,7.58
g_1,0.03,0.03,0.04,0.05,0.05,0.12,0.54,1.0,1.07,1.14,1.34,2.25,1.96,3.54,3.54,3.3
d_0,0.03,0.02,0.05,0.04,0.05,0.12,0.57,0.92,1.0,0.87,1.33,1.48,2.43,2.56,2.93,3.81
c_0,0.03,0.03,0.05,0.03,0.04,0.11,0.57,0.87,1.12,1.0,1.59,1.4,2.37,2.73,3.3,3.05
b_0,0.03,0.03,0.03,0.03,0.04,0.08,0.43,0.72,0.74,0.59,1.0,1.27,2.0,2.68,2.65,3.12
f_0,0.02,0.02,0.03,0.02,0.03,0.08,0.4,0.46,0.65,0.73,0.78,1.0,1.64,1.5,3.04,2.09
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.21,0.51,0.41,0.42,0.49,0.64,1.0,1.1,1.11,1.64
a_0,0.01,0.01,0.02,0.01,0.02,0.05,0.24,0.28,0.37,0.37,0.36,0.66,0.85,1.0,0.92,1.31
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.29,0.35,0.3,0.37,0.36,0.95,1.05,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.13,0.3,0.26,0.3,0.32,0.5,0.61,0.76,0.94,1.0
