,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,1.09,0.86,0.96,0.96,1.01,0.98,1.23,0.83,1.06,0.96,0.95,1.08,1.04,0.79
f_1,0.89,1.0,1.27,1.02,0.92,0.88,0.89,1.15,0.92,1.06,0.95,0.97,0.88,0.97,0.8,1.06
e_1,0.91,0.8,1.0,1.19,1.1,0.95,1.0,1.39,0.98,1.14,0.99,1.06,1.12,1.06,1.01,1.17
c_1,1.18,0.95,0.82,1.0,1.29,0.92,1.03,0.74,0.92,0.96,0.82,0.97,0.99,0.94,1.04,1.0
b_1,1.03,1.08,0.89,0.81,1.0,1.49,1.08,0.93,1.04,0.98,1.05,0.97,1.03,0.87,0.99,0.98
a_1,1.03,1.13,1.06,1.05,0.67,1.0,1.03,0.91,1.01,1.08,1.24,1.1,1.12,1.12,1.02,1.07
h_1,0.98,1.13,0.99,0.99,0.94,0.95,1.0,0.89,0.92,1.12,0.93,1.03,0.96,0.82,0.98,1.18
d_0,1.01,0.88,0.73,1.34,1.1,1.06,1.13,1.0,0.85,1.12,1.03,1.1,1.07,0.99,1.04,1.25
c_0,0.83,1.07,1.02,1.07,0.92,0.94,1.12,1.13,1.0,1.07,1.31,1.01,1.09,1.18,0.99,1.01
g_1,1.19,0.94,0.87,1.02,1.02,0.91,0.91,0.89,0.95,1.0,1.0,1.2,0.85,0.84,1.02,0.96
b_0,0.96,1.06,0.94,1.19,1.0,0.83,1.08,0.98,0.78,1.03,1.0,0.97,1.1,1.26,1.08,0.99
f_0,1.06,1.05,0.94,1.03,1.05,0.93,0.95,0.92,0.98,0.86,1.01,1.0,1.05,0.99,1.4,0.88
h_0,1.06,1.12,0.92,0.98,0.97,0.89,1.01,0.94,0.92,1.16,0.94,1.0,1.0,0.98,0.95,1.18
a_0,0.93,1.07,0.97,1.06,1.16,0.86,1.15,0.93,0.86,1.21,0.82,0.98,1.0,1.0,1.0,1.03
e_0,0.97,1.2,1.01,1.0,1.02,0.94,0.98,1.01,1.01,0.93,0.98,0.75,1.03,1.0,1.0,1.04
g_0,1.23,0.94,0.88,1.01,1.01,0.99,0.89,0.83,1.02,1.03,0.97,1.13,0.86,0.96,0.97,1.0
