,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.95,0.46,0.39,0.48,0.35,0.27,0.3,0.31,0.48,0.31,0.29,0.29,0.21,0.3,0.23,0.19
f_1,0.68,0.94,0.47,0.45,0.32,0.3,0.32,0.28,0.28,0.24,0.27,0.16,0.21,0.21,0.24,0.12
d_1,0.5,0.52,0.95,0.39,0.39,0.3,0.34,0.27,0.19,0.46,0.32,0.26,0.22,0.27,0.19,0.17
c_1,0.48,0.52,0.47,0.94,0.64,0.22,0.31,0.25,0.25,0.17,0.2,0.25,0.21,0.28,0.22,0.18
b_1,0.52,0.56,0.5,0.4,0.94,0.51,0.31,0.27,0.27,0.27,0.19,0.29,0.21,0.28,0.2,0.18
a_1,0.52,0.55,0.56,0.68,0.37,0.94,0.46,0.34,0.36,0.35,0.33,0.3,0.17,0.35,0.26,0.28
h_1,0.78,0.91,0.68,0.7,0.65,0.31,0.76,0.54,0.45,0.47,0.45,0.39,0.33,0.37,0.42,0.3
g_1,0.7,0.61,0.99,0.8,0.59,0.48,0.46,0.75,0.4,0.49,0.4,0.6,0.33,0.35,0.28,0.33
d_0,0.65,0.82,0.68,1.16,0.61,0.45,0.49,0.51,0.67,0.36,0.44,0.47,0.31,0.45,0.35,0.34
c_0,0.75,0.95,0.74,0.69,0.52,0.49,0.49,0.49,0.52,0.67,0.75,0.5,0.43,0.5,0.35,0.3
b_0,0.77,0.91,0.78,0.93,0.51,0.51,0.53,0.56,0.49,0.41,0.68,0.5,0.62,0.51,0.43,0.32
f_0,0.64,0.71,0.95,0.88,0.65,0.51,0.66,0.52,0.53,0.5,0.49,0.68,0.43,0.52,0.33,0.58
a_0,0.87,0.93,1.05,0.84,0.72,0.38,0.63,0.58,0.54,0.46,0.5,0.5,0.64,0.43,0.45,0.39
h_0,0.79,1.23,0.93,0.82,0.71,0.5,0.44,0.64,0.46,0.48,0.46,0.42,0.44,0.36,0.5,0.31
g_0,0.84,0.87,1.24,0.78,0.84,0.52,0.55,0.57,0.6,0.6,0.49,0.75,0.44,0.53,0.37,0.4
e_0,0.6,1.27,1.03,1.03,0.85,0.53,0.67,0.55,0.57,0.58,0.5,0.46,0.41,0.51,0.43,0.61
