,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.16,0.48,0.49,0.49,0.45,0.35,0.12,0.08,0.09,0.15,0.11,0.08,0.09,0.06,0.08,0.05
f_1,0.42,0.16,0.45,0.47,0.42,0.41,0.11,0.17,0.09,0.11,0.09,0.14,0.08,0.05,0.08,0.07
e_1,0.48,0.27,0.15,0.54,0.47,0.49,0.14,0.12,0.1,0.11,0.11,0.11,0.1,0.06,0.15,0.08
c_1,0.63,0.46,0.35,0.15,0.44,0.41,0.14,0.13,0.13,0.05,0.09,0.09,0.08,0.07,0.09,0.06
b_1,0.53,0.49,0.44,0.24,0.14,0.46,0.14,0.15,0.13,0.1,0.15,0.1,0.1,0.07,0.11,0.08
a_1,0.45,0.48,0.48,0.51,0.24,0.09,0.15,0.15,0.1,0.11,0.13,0.11,0.19,0.08,0.09,0.07
h_1,0.35,0.46,0.38,0.38,0.42,0.44,0.06,0.12,0.07,0.09,0.08,0.07,0.08,0.08,0.06,0.05
g_1,0.37,0.42,0.45,0.47,0.39,0.31,0.09,0.05,0.08,0.1,0.09,0.08,0.07,0.04,0.07,0.09
c_0,0.23,0.49,0.38,0.63,0.5,0.41,0.12,0.11,0.06,0.12,0.09,0.08,0.08,0.06,0.08,0.06
d_0,0.63,0.42,0.22,0.42,0.39,0.45,0.14,0.13,0.09,0.05,0.07,0.09,0.08,0.06,0.09,0.06
b_0,0.32,0.47,0.35,0.47,0.63,0.35,0.11,0.11,0.05,0.09,0.05,0.08,0.09,0.07,0.07,0.06
f_0,0.36,0.68,0.36,0.4,0.4,0.36,0.12,0.07,0.08,0.09,0.08,0.05,0.07,0.07,0.08,0.04
a_0,0.38,0.39,0.39,0.43,0.51,0.57,0.11,0.12,0.07,0.09,0.04,0.07,0.04,0.05,0.06,0.05
h_0,0.4,0.38,0.44,0.38,0.36,0.32,0.16,0.13,0.09,0.09,0.08,0.08,0.07,0.08,0.07,0.06
e_0,0.34,0.68,0.53,0.41,0.41,0.36,0.09,0.1,0.07,0.08,0.07,0.04,0.06,0.05,0.04,0.04
g_0,0.34,0.46,0.36,0.41,0.4,0.46,0.09,0.18,0.09,0.08,0.07,0.07,0.08,0.05,0.07,0.06
