,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.43,1.82,1.18,1.29,1.11,1.1,1.75,2.64,2.42,2.0,2.44,1.6,3.1,2.71,1.75,3.06
e_1,1.16,2.43,1.16,1.41,1.24,1.18,2.55,4.02,2.28,2.4,2.55,2.84,3.25,3.24,2.16,3.36
d_1,1.43,1.12,2.57,1.17,1.19,1.18,2.16,1.68,4.35,2.08,3.24,2.87,3.48,2.74,2.87,2.96
c_1,1.27,1.16,1.11,2.59,1.93,1.12,2.37,2.04,1.85,2.23,1.92,2.51,3.07,2.51,2.87,3.05
b_1,1.17,1.09,1.27,1.04,2.65,2.21,2.62,2.7,2.51,2.72,2.08,2.68,3.52,2.37,2.32,3.12
a_1,1.3,1.1,1.42,1.18,1.09,3.17,3.15,3.09,2.71,2.79,3.15,3.27,3.67,2.13,3.31,4.22
h_1,1.87,1.24,1.58,1.31,1.13,1.04,4.2,2.67,2.95,3.45,3.18,2.8,2.82,2.88,3.14,4.63
d_0,1.39,1.21,1.14,2.37,1.39,1.08,2.83,3.97,1.92,2.48,2.94,2.89,3.83,2.9,2.99,3.64
c_0,1.57,1.48,1.23,1.04,1.29,1.38,2.76,3.59,4.02,2.76,5.4,2.75,3.82,3.43,3.43,4.01
g_1,1.11,1.23,2.2,1.38,1.21,1.14,2.3,2.83,2.69,4.78,3.11,4.27,3.81,3.15,3.59,2.96
b_0,1.66,1.56,1.36,1.63,0.86,1.06,2.53,2.77,2.41,2.87,4.48,3.11,3.6,5.26,3.7,3.98
f_0,1.32,1.14,1.56,1.52,1.37,1.2,2.76,3.0,3.05,2.55,3.13,4.75,4.07,3.04,6.07,3.35
h_0,1.67,1.42,1.43,1.41,1.25,1.27,2.14,2.94,3.03,3.1,3.04,3.04,2.68,2.78,2.65,4.72
a_0,1.37,1.27,1.56,1.52,1.29,0.79,2.67,2.9,3.16,2.87,3.06,3.49,3.91,5.11,3.04,4.26
e_0,1.54,0.99,1.52,1.42,1.71,1.29,2.72,2.49,3.13,2.42,3.17,2.45,4.49,2.77,5.41,3.66
g_0,1.24,1.24,2.02,1.27,1.41,1.11,2.38,2.79,2.69,2.7,2.76,4.43,3.11,3.23,3.47,3.12
