,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.28,1.12,1.5,2.17,3.4,16.42,28.61,34.54,29.64,57.4,63.03,81.76,88.68,91.56,165.62
e_1,0.8,1.0,1.12,1.54,1.67,3.79,20.67,39.53,32.72,35.64,47.7,80.36,100.36,139.87,112.69,168.29
d_1,0.89,0.87,1.0,0.95,1.41,2.9,14.63,25.1,20.61,36.73,44.24,51.77,86.55,92.01,91.05,95.62
c_1,0.66,0.65,1.07,1.0,1.86,2.39,13.95,15.58,21.78,19.65,35.17,50.63,73.44,74.48,72.8,103.41
b_1,0.46,0.6,0.71,0.54,1.0,3.0,10.81,14.97,15.8,17.16,29.21,31.54,44.99,41.84,45.16,75.63
a_1,0.29,0.26,0.35,0.42,0.33,1.0,5.36,7.84,8.85,9.36,17.45,22.88,26.07,35.07,38.25,47.68
h_1,0.06,0.05,0.07,0.07,0.1,0.18,1.0,1.56,2.23,1.69,2.77,3.63,5.36,5.91,5.39,8.82
d_0,0.03,0.02,0.04,0.06,0.07,0.12,0.65,1.0,1.04,1.06,1.61,2.64,3.31,3.72,3.57,5.96
g_1,0.03,0.03,0.05,0.05,0.06,0.1,0.45,0.95,1.0,0.87,1.76,2.78,2.67,3.19,3.76,4.4
c_0,0.03,0.03,0.03,0.05,0.06,0.11,0.61,0.95,1.17,1.0,2.24,2.25,2.99,3.17,3.53,4.82
b_0,0.02,0.02,0.02,0.03,0.04,0.05,0.38,0.58,0.57,0.44,1.0,1.39,1.63,2.11,2.96,2.61
f_0,0.01,0.01,0.02,0.02,0.03,0.04,0.27,0.38,0.36,0.46,0.76,1.0,1.41,2.07,1.5,1.7
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.3,0.38,0.33,0.57,0.67,1.0,1.11,1.12,1.83
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.27,0.31,0.29,0.47,0.46,0.86,1.0,0.93,1.7
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.19,0.29,0.28,0.29,0.36,0.62,0.88,1.11,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.17,0.23,0.2,0.35,0.58,0.56,0.63,0.76,1.0
