,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.03,0.84,0.95,0.67,0.71,0.69,0.91,1.66,0.8,0.84,0.89,1.02,1.03,1.02,0.64,1.0
f_1,1.32,2.09,0.69,0.67,0.66,0.68,0.82,0.98,0.89,0.74,0.94,0.64,0.93,0.87,0.76,0.93
c_1,0.64,0.74,2.23,0.75,1.29,0.71,0.84,0.79,0.59,0.93,0.72,1.02,0.72,0.97,0.94,0.92
d_1,0.73,0.8,0.54,2.32,0.69,0.72,1.09,0.54,1.75,1.09,1.33,0.95,1.12,1.08,1.13,0.85
b_1,0.68,0.74,0.89,0.78,2.31,1.24,0.96,0.88,0.84,0.84,0.61,0.83,0.73,0.97,0.94,1.02
a_1,0.79,0.75,0.81,0.86,0.7,3.52,1.08,0.95,0.84,0.97,0.95,1.02,0.87,0.98,1.13,1.21
h_1,0.73,1.2,0.77,0.89,0.79,0.72,2.16,0.88,0.95,1.34,1.14,1.02,1.18,0.71,1.18,1.29
d_0,0.76,0.87,1.54,0.58,0.88,0.62,0.95,1.71,0.74,1.08,0.77,1.01,1.0,1.08,0.99,0.91
c_0,0.79,0.95,0.69,0.99,0.63,0.76,1.2,1.0,1.81,1.25,2.21,1.43,1.46,1.12,1.04,1.11
g_1,0.73,0.69,0.82,1.34,0.83,0.74,0.93,0.71,1.09,2.76,1.08,1.68,1.08,1.03,1.44,0.7
b_0,0.71,0.82,0.85,0.97,0.64,0.9,1.11,1.04,1.22,1.17,2.14,1.27,2.15,1.14,1.22,1.15
f_0,0.62,0.73,0.83,0.92,0.91,0.86,1.15,1.13,1.09,1.17,1.3,2.2,1.21,1.4,2.34,1.06
a_0,0.78,0.93,0.89,0.88,0.78,0.57,1.19,1.09,1.2,1.12,1.2,1.07,2.24,1.17,1.13,1.09
h_0,0.79,1.11,0.84,0.91,0.75,0.79,0.69,0.99,1.11,1.41,1.16,1.1,1.0,0.96,1.16,1.54
e_0,0.58,0.96,0.74,1.04,0.84,0.64,1.28,1.03,1.28,1.26,1.19,1.06,1.2,1.2,2.38,1.35
g_0,0.73,0.77,0.76,1.37,0.76,0.72,1.1,0.87,1.23,0.75,0.92,1.68,0.97,1.0,1.15,0.98
