,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.79,0.83,1.08,0.75,0.75,0.51,0.67,0.46,0.37,0.44,0.41,0.4,0.38,0.34,0.41
f_1,1.26,1.0,0.83,0.89,0.82,0.62,0.45,0.39,0.47,0.4,0.32,0.32,0.31,0.27,0.31,0.21
d_1,1.2,1.2,1.0,0.8,0.78,0.71,0.51,0.46,0.34,0.57,0.41,0.39,0.34,0.34,0.29,0.34
c_1,0.93,1.11,1.24,1.0,1.26,0.68,0.53,0.31,0.47,0.37,0.37,0.37,0.31,0.34,0.27,0.31
b_1,1.32,1.23,1.27,0.8,1.0,1.4,0.62,0.45,0.56,0.44,0.51,0.54,0.39,0.51,0.4,0.45
a_1,1.33,1.63,1.41,1.47,0.72,1.0,0.77,0.6,0.61,0.59,0.67,0.59,0.51,0.49,0.63,0.45
h_1,2.06,2.26,1.92,1.78,1.69,1.34,1.0,0.82,0.92,0.77,0.73,0.76,0.64,0.66,0.67,0.65
d_0,1.51,2.58,2.21,3.1,2.32,1.6,1.21,1.0,1.11,0.76,0.91,0.87,0.77,0.74,0.72,0.74
g_1,2.18,1.94,3.09,2.18,1.75,1.7,1.09,0.86,1.0,1.05,0.98,1.18,0.85,0.61,0.9,0.79
c_0,2.84,2.44,1.77,2.74,2.05,1.63,1.28,1.37,0.93,1.0,1.33,1.02,0.87,0.93,0.97,0.73
b_0,2.21,3.24,2.38,2.79,2.22,1.49,1.34,1.15,1.01,0.74,1.0,0.96,1.27,0.87,0.81,0.89
f_0,2.29,3.12,2.56,2.62,2.04,1.67,1.32,1.18,0.86,0.96,1.0,1.0,0.99,0.9,0.72,1.21
a_0,2.6,3.1,2.92,3.42,2.77,1.85,1.58,1.45,1.17,1.15,0.81,1.02,1.0,1.06,0.91,0.98
h_0,2.69,3.67,2.8,2.99,2.07,2.06,1.52,1.32,1.63,1.03,1.15,1.13,0.93,1.0,1.07,0.86
g_0,2.91,3.29,3.48,3.44,2.51,1.58,1.52,1.33,1.08,1.01,1.22,1.42,1.14,0.93,1.0,0.85
e_0,2.62,4.73,3.08,3.09,2.57,2.11,1.58,1.34,1.26,1.32,1.14,0.87,1.11,1.16,1.09,1.0
