,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.96,0.76,0.79,0.78,0.68,0.33,0.46,0.35,0.32,0.33,0.52,0.24,0.3,0.32,0.28
e_1,0.51,0.41,0.91,0.87,0.86,0.9,0.44,0.47,0.5,0.41,0.43,0.47,0.32,0.43,0.37,0.53
d_1,0.83,0.89,0.39,0.89,0.88,0.71,0.44,0.31,0.5,0.36,0.37,0.32,0.31,0.34,0.21,0.36
c_1,0.79,0.72,0.89,0.38,0.89,0.83,0.44,0.41,0.22,0.45,0.32,0.36,0.31,0.4,0.3,0.33
b_1,0.88,0.73,0.83,0.51,0.36,0.95,0.52,0.47,0.41,0.48,0.56,0.36,0.33,0.35,0.36,0.41
a_1,1.0,0.76,0.87,0.83,0.48,0.31,0.55,0.48,0.39,0.44,0.44,0.39,0.38,0.57,0.33,0.38
h_1,0.84,0.71,0.65,0.7,0.66,0.65,0.25,0.43,0.36,0.3,0.3,0.3,0.35,0.29,0.36,0.33
g_1,0.69,0.76,0.76,0.78,0.74,0.64,0.31,0.23,0.37,0.31,0.31,0.37,0.23,0.32,0.33,0.34
d_0,0.79,0.43,0.98,0.95,0.7,0.74,0.39,0.41,0.25,0.29,0.34,0.3,0.31,0.36,0.32,0.39
c_0,0.91,0.72,0.48,0.98,0.71,0.6,0.37,0.4,0.4,0.24,0.4,0.27,0.33,0.38,0.3,0.36
b_0,0.84,0.65,0.6,1.07,1.05,0.65,0.39,0.42,0.31,0.19,0.23,0.29,0.27,0.38,0.25,0.3
f_0,0.9,0.61,0.75,0.7,0.75,0.7,0.41,0.26,0.36,0.37,0.35,0.22,0.27,0.31,0.19,0.4
h_0,0.8,0.81,0.68,0.73,0.59,0.58,0.51,0.44,0.34,0.28,0.32,0.31,0.32,0.29,0.3,0.25
a_0,0.81,0.73,0.7,0.68,0.83,0.86,0.4,0.36,0.35,0.26,0.21,0.3,0.27,0.2,0.26,0.28
g_0,0.75,0.65,0.78,0.77,0.68,0.67,0.27,0.48,0.35,0.27,0.31,0.34,0.21,0.32,0.3,0.29
e_0,1.06,0.85,0.62,0.77,0.68,0.77,0.37,0.42,0.28,0.26,0.31,0.17,0.31,0.28,0.25,0.19
