,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.12,0.91,0.87,0.74,0.52,0.64,0.49,0.43,0.38,0.46,0.35,0.3,0.36,0.3
f_1,1.28,1.0,0.96,0.77,0.88,0.66,0.36,0.42,0.43,0.36,0.38,0.32,0.29,0.32,0.26,0.36
c_1,0.88,1.04,1.0,1.1,1.21,0.84,0.53,0.35,0.53,0.41,0.37,0.42,0.35,0.3,0.32,0.34
d_1,1.11,1.32,0.92,1.0,0.88,0.7,0.56,0.5,0.39,0.59,0.44,0.42,0.41,0.4,0.35,0.23
b_1,1.17,1.13,0.83,1.14,1.0,1.28,0.52,0.43,0.45,0.52,0.43,0.43,0.46,0.35,0.32,0.32
a_1,1.34,1.51,1.18,1.42,0.78,1.0,0.71,0.6,0.73,0.58,0.59,0.48,0.5,0.46,0.41,0.42
h_1,1.99,2.72,1.93,1.79,1.89,1.3,1.0,0.84,0.95,0.84,0.73,0.87,0.79,0.75,0.61,0.68
d_0,1.57,2.37,2.85,2.03,2.3,1.6,1.16,1.0,0.89,0.93,0.91,0.92,0.92,0.72,0.82,0.74
g_1,2.02,2.28,1.86,2.63,2.15,1.4,1.04,1.12,1.0,1.04,0.93,1.07,0.71,0.8,0.77,0.62
c_0,2.43,2.75,2.38,1.69,1.79,1.5,1.18,1.12,0.97,1.0,1.38,0.94,0.95,0.85,0.77,0.74
b_0,2.63,2.76,2.77,2.21,2.13,1.62,1.43,1.11,1.03,0.72,1.0,0.96,0.77,1.24,0.73,0.88
f_0,2.15,3.07,2.46,2.36,2.25,2.19,1.16,1.07,0.95,1.06,1.04,1.0,0.93,0.87,1.13,0.59
h_0,2.93,3.49,2.74,2.37,2.24,1.96,1.26,1.15,1.41,1.03,1.25,1.08,1.0,0.84,0.86,0.91
a_0,3.4,3.05,3.34,2.44,2.83,2.11,1.3,1.42,1.31,1.17,0.88,1.09,1.17,1.0,1.01,0.99
e_0,2.81,3.88,3.27,2.89,3.24,2.57,1.52,1.21,1.25,1.32,1.34,0.87,1.23,0.95,1.0,0.94
g_0,3.38,2.74,2.84,4.01,3.3,2.46,1.49,1.37,1.61,1.31,1.21,1.77,1.09,1.09,1.1,1.0
