,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,92.96,18.39,19.51,25.62,24.94,82.76,1983.87,3307.0,3589.77,6150.94,8129.35,,25662.39,18013.6,31677.62,30255.48
e_1,11.25,95.83,12.72,14.76,24.68,66.87,1859.5,5660.58,4520.12,5686.52,9458.36,11602.96,32550.95,,36747.3,48836.75
c_1,9.31,12.22,129.18,22.25,40.24,78.67,1597.31,2847.43,3674.27,,6777.77,8395.67,26204.03,19659.79,20642.55,51931.73
d_1,9.6,10.17,10.26,171.59,17.7,46.1,1563.33,,3056.73,8001.99,8334.09,6336.15,27452.17,23053.57,19841.92,39025.05
b_1,9.35,8.06,8.79,19.6,201.34,96.41,1082.1,2797.26,3233.95,4017.02,,8632.95,23012.52,21919.68,15324.55,41231.37
a_1,5.68,6.35,7.46,14.37,10.28,451.81,1051.14,2102.74,2098.75,,4854.0,6644.74,20905.66,16303.22,,
h_1,5.81,5.06,6.97,10.46,14.63,30.47,2875.6,1473.69,2101.93,3267.01,3779.12,4272.03,,12241.05,10347.1,25738.4
d_0,5.13,4.08,11.55,,9.3,24.57,804.82,3765.98,1636.33,2631.68,3558.79,3734.1,13484.85,13603.48,13398.32,24072.11
g_1,4.13,2.66,5.42,10.07,10.48,22.97,575.03,1132.68,5768.58,2138.93,3185.6,4219.56,8458.26,9449.42,9635.53,
c_0,4.13,4.04,,7.39,8.41,,563.91,989.79,1441.1,5698.72,6294.69,4837.15,10748.25,9442.15,10178.69,19187.09
b_0,3.33,4.16,4.43,5.45,,23.72,643.81,1298.31,1343.14,1668.22,8018.98,3248.46,8280.85,8492.79,15169.59,18112.61
f_0,,2.56,5.14,8.44,8.53,17.69,581.69,1484.4,1333.43,1363.46,2988.06,9192.01,6954.81,13516.74,,14378.08
h_0,3.22,2.43,4.19,6.45,8.83,17.21,,1040.73,1397.13,2085.59,2750.46,3096.72,,9865.08,,21661.91
e_0,2.1,,5.02,4.38,6.45,18.67,519.59,654.24,1042.73,1545.69,1693.5,1577.79,5858.13,19770.87,,11091.56
a_0,2.05,2.1,4.29,4.64,7.07,,446.4,967.31,964.78,1377.16,1326.78,,,,20691.65,
g_0,2.37,2.5,3.55,7.82,6.94,,406.02,773.08,,1348.73,1761.49,3834.95,4411.16,8114.27,,
