,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.47,0.15,0.07,0.07,0.07,0.06,0.3,0.33,0.41,0.33,0.4,,0.65,0.46,0.43,0.29
e_1,0.07,5.7,0.06,0.09,0.11,0.09,0.2,0.27,0.72,0.43,0.32,0.42,0.47,0.35,0.48,
d_1,0.08,0.05,6.26,0.06,0.06,0.09,0.31,0.33,,0.74,0.4,0.49,0.75,0.27,0.49,0.38
c_1,0.08,0.09,0.07,6.68,0.13,0.09,0.33,0.29,0.38,,0.27,0.44,0.55,0.47,0.54,
b_1,0.09,0.08,0.06,0.09,7.65,0.11,0.38,0.25,0.29,0.4,,0.26,0.75,0.27,0.62,0.46
a_1,0.09,0.07,0.09,0.05,0.11,10.42,0.27,0.26,0.25,0.35,0.44,0.38,0.86,,0.42,
h_1,0.37,0.29,0.29,0.3,0.18,0.23,14.39,1.48,1.55,1.65,1.4,0.91,,1.53,3.47,1.78
g_1,0.26,0.34,0.41,0.33,0.25,0.3,1.18,17.6,1.37,0.86,1.18,2.23,2.06,1.6,,
d_0,0.43,0.38,,0.78,0.47,0.34,1.42,1.16,11.98,1.99,2.28,2.19,2.5,,2.11,2.32
c_0,0.36,0.29,0.43,,0.32,0.35,1.88,1.32,1.7,12.54,3.55,2.02,3.44,1.89,2.89,2.79
b_0,0.38,0.29,0.39,0.32,,0.38,1.78,2.18,1.8,1.97,13.47,1.91,2.53,2.85,3.19,2.23
f_0,,0.34,0.46,0.37,0.35,0.31,1.71,1.46,2.34,2.33,1.51,15.94,2.56,2.04,3.21,3.51
h_0,0.71,0.53,0.57,0.57,0.65,0.51,,2.29,2.98,3.18,2.98,2.98,,3.41,5.55,2.66
a_0,0.37,0.37,0.31,0.35,0.45,,1.53,,2.09,1.49,1.93,2.16,2.87,20.15,3.93,2.81
g_0,0.54,0.52,1.08,0.5,0.42,0.53,1.69,,3.48,2.54,3.07,3.63,4.28,2.5,,2.61
e_0,0.53,,0.38,0.43,0.3,0.56,1.42,,1.55,2.18,1.99,,3.83,2.44,3.49,23.32
