,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.56,0.64,0.62,0.56,0.52,0.26,0.33,0.25,0.27,0.25,0.28,0.19,0.24,0.25,0.21
d_1,0.62,0.4,0.66,0.6,0.56,0.52,0.3,0.24,0.31,0.32,0.29,0.26,0.21,0.27,0.26,0.17
e_1,0.45,0.59,0.4,0.65,0.62,0.6,0.35,0.35,0.27,0.33,0.25,0.33,0.24,0.26,0.35,0.29
c_1,0.59,0.67,0.51,0.37,0.64,0.55,0.31,0.31,0.32,0.18,0.27,0.25,0.23,0.27,0.24,0.25
b_1,0.62,0.64,0.58,0.4,0.35,0.71,0.36,0.32,0.33,0.26,0.3,0.28,0.23,0.27,0.27,0.22
a_1,0.66,0.65,0.61,0.57,0.37,0.3,0.38,0.38,0.26,0.29,0.34,0.29,0.25,0.31,0.29,0.24
h_1,0.66,0.55,0.53,0.59,0.55,0.47,0.23,0.3,0.23,0.26,0.23,0.23,0.25,0.23,0.24,0.22
g_1,0.57,0.6,0.54,0.59,0.61,0.47,0.25,0.21,0.24,0.25,0.24,0.26,0.19,0.27,0.24,0.23
c_0,0.61,0.41,0.63,0.76,0.57,0.58,0.33,0.3,0.22,0.39,0.3,0.25,0.24,0.28,0.26,0.2
d_0,0.55,0.73,0.39,0.66,0.59,0.57,0.31,0.37,0.24,0.22,0.23,0.3,0.24,0.27,0.27,0.28
b_0,0.58,0.47,0.54,0.69,0.69,0.54,0.33,0.31,0.18,0.3,0.21,0.25,0.23,0.31,0.26,0.22
f_0,0.73,0.55,0.54,0.58,0.53,0.55,0.29,0.24,0.25,0.26,0.25,0.2,0.24,0.26,0.28,0.16
h_0,0.6,0.58,0.56,0.57,0.52,0.47,0.31,0.33,0.25,0.27,0.25,0.23,0.24,0.23,0.25,0.23
a_0,0.63,0.51,0.55,0.55,0.64,0.64,0.33,0.29,0.23,0.25,0.17,0.25,0.24,0.19,0.25,0.23
e_0,0.72,0.54,0.55,0.58,0.53,0.5,0.3,0.28,0.24,0.26,0.25,0.17,0.23,0.25,0.18,0.18
g_0,0.64,0.62,0.49,0.54,0.57,0.51,0.25,0.31,0.26,0.25,0.24,0.24,0.18,0.26,0.26,0.24
