,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.48,0.42,0.36,0.52,0.44,0.42,0.52,0.45,1.06,0.56,0.53,0.52,0.63,0.41,0.26,0.47
f_1,0.72,1.49,0.4,0.44,0.45,0.33,0.48,0.41,0.58,0.52,0.62,0.26,0.53,0.44,0.31,0.7
d_1,0.58,0.52,1.55,0.35,0.37,0.35,0.58,0.4,0.24,0.99,0.59,0.54,0.63,0.48,0.51,0.49
c_1,0.49,0.48,0.52,1.56,0.68,0.28,0.59,0.44,0.4,0.18,0.48,0.59,0.51,0.49,0.53,0.49
b_1,0.49,0.49,0.55,0.48,1.59,0.62,0.52,0.58,0.52,0.48,0.21,0.52,0.55,0.36,0.5,0.49
a_1,0.46,0.59,0.6,0.52,0.36,1.78,0.62,0.56,0.56,0.7,0.49,0.72,0.79,0.21,0.42,0.7
h_1,0.67,1.01,0.72,0.72,0.63,0.56,1.67,0.91,0.68,0.78,0.78,0.85,0.5,0.75,0.68,0.96
g_1,0.67,0.8,1.17,0.79,0.55,0.57,0.84,1.78,0.71,0.74,0.71,1.03,0.79,0.72,0.77,0.44
d_0,0.57,0.8,0.46,1.35,0.82,0.64,1.08,0.97,1.5,0.73,0.91,0.77,0.95,0.93,0.7,0.79
c_0,0.79,1.0,0.7,0.54,0.62,0.53,1.06,0.95,1.02,1.5,1.42,0.86,1.12,0.91,1.02,0.88
b_0,0.85,0.85,0.85,0.79,0.6,0.53,0.95,1.09,0.92,0.74,1.58,0.74,1.01,1.65,0.75,0.91
f_0,0.71,0.56,0.95,0.72,0.89,0.57,0.87,0.92,0.88,0.92,1.11,1.62,1.21,0.71,1.36,0.86
h_0,0.75,1.14,0.67,0.84,0.82,0.5,0.58,1.14,0.97,0.83,0.84,0.75,0.65,0.7,0.71,1.19
a_0,0.85,0.86,0.95,0.82,0.76,,0.87,1.05,0.71,0.98,0.71,0.89,1.2,1.69,0.89,0.93
e_0,0.58,1.18,0.81,0.73,0.72,0.83,1.01,0.86,0.92,1.02,1.1,0.69,1.32,0.71,1.68,0.87
g_0,0.94,0.64,1.1,0.88,0.84,0.59,0.83,0.76,0.94,0.83,0.87,1.17,0.83,0.94,0.86,0.65
