,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,1.73,1.59,1.26,1.69,1.8,0.32,0.37,0.41,0.53,0.3,1.14,0.17,0.32,0.29,0.3
e_1,0.87,0.18,2.04,1.55,2.29,2.14,0.53,0.35,0.3,0.58,0.35,0.42,0.28,1.78,0.37,0.28
c_1,1.71,1.44,0.15,2.35,1.5,1.97,0.61,0.17,1.38,0.39,0.34,0.26,0.23,0.31,0.28,0.24
d_1,1.84,1.6,1.93,0.15,1.57,1.73,0.42,1.32,0.32,0.29,0.36,0.28,0.27,0.23,0.31,0.13
b_1,1.76,2.56,0.83,1.64,0.14,1.44,0.48,0.42,0.39,0.58,1.97,0.37,0.27,0.28,0.41,0.26
a_1,2.1,1.65,1.78,2.24,0.72,0.1,0.54,0.46,0.34,0.52,0.62,0.39,0.24,0.39,,0.26
h_1,0.89,0.88,0.97,1.03,1.07,0.77,0.06,0.26,0.15,0.35,0.16,0.16,0.5,0.17,0.22,0.16
d_0,0.93,0.51,0.95,3.17,1.07,0.75,0.32,0.08,0.21,0.33,0.2,0.19,0.12,0.15,0.17,0.15
c_0,0.91,1.1,3.25,0.5,1.08,0.77,0.29,0.19,0.07,0.25,0.19,0.2,0.11,0.19,0.17,0.11
g_1,1.07,1.1,1.0,0.97,1.13,0.58,0.2,0.22,0.18,0.05,0.22,0.19,0.1,0.21,0.23,0.26
b_0,1.1,0.69,1.42,0.84,4.64,0.84,0.22,0.18,0.09,0.26,0.06,0.16,0.11,0.23,0.16,0.11
f_0,2.79,0.9,0.81,0.74,0.97,0.8,0.26,0.18,0.17,0.15,0.18,0.06,0.16,0.14,0.19,0.08
h_0,1.11,0.8,0.88,0.75,0.97,1.03,0.64,0.18,0.18,0.26,0.17,0.23,0.28,0.2,0.18,0.16
e_0,1.65,1.9,0.76,0.9,0.73,0.94,0.22,0.14,0.22,0.21,0.16,0.08,0.14,0.04,0.19,0.14
a_0,1.06,0.74,1.15,0.86,1.26,,0.25,0.21,0.16,0.3,0.08,0.17,0.12,0.16,0.04,0.14
g_0,0.97,0.9,1.0,0.81,1.09,0.88,0.18,0.21,0.15,,0.17,0.19,0.1,0.16,0.17,
