,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.17,16.67,13.93,12.38,10.7,11.07,3.11,2.09,6.19,1.95,,2.39,2.21,1.52,2.16,2.01
e_1,7.05,0.17,9.27,22.97,18.25,13.68,3.11,2.64,3.81,2.81,3.24,2.79,1.75,1.74,,2.28
d_1,15.67,13.91,0.16,16.27,13.76,13.78,3.29,,1.92,4.58,2.25,1.95,2.26,1.59,2.65,1.01
c_1,11.78,14.19,13.32,0.15,14.24,14.01,3.56,1.38,4.14,,2.11,2.37,4.02,1.48,2.43,2.31
b_1,14.15,10.43,17.35,6.2,0.14,12.06,2.96,3.64,4.38,3.17,3.19,,2.64,1.63,2.11,2.1
a_1,14.38,12.49,13.78,15.76,5.87,0.09,4.11,3.5,2.72,3.84,2.75,3.98,,1.63,2.18,2.18
h_1,4.19,3.72,4.88,2.79,3.55,3.04,0.07,0.58,0.89,0.54,0.6,0.57,0.66,,0.62,0.45
d_0,2.39,1.52,,1.91,2.67,2.5,0.64,0.09,0.69,0.76,0.47,0.51,0.52,0.37,0.48,0.38
g_1,2.91,3.53,3.92,4.82,3.94,3.45,0.75,0.75,0.05,0.59,0.61,1.08,0.54,0.33,0.81,
c_0,2.66,2.39,1.23,,3.31,2.63,0.63,0.47,0.86,0.08,0.49,0.56,0.65,0.34,0.48,0.51
f_0,,3.01,2.64,2.64,1.97,3.38,0.98,0.45,0.66,0.41,0.07,0.61,0.41,0.35,0.36,0.2
b_0,2.54,2.89,2.38,3.06,,2.19,0.73,0.76,0.56,0.29,0.47,0.07,0.7,0.39,0.63,0.31
a_0,3.32,2.71,2.86,2.75,2.64,,0.76,0.47,0.63,0.41,0.54,0.23,0.05,,,0.36
h_0,1.8,1.34,2.07,1.67,1.75,2.21,,0.34,0.37,0.26,0.3,0.45,,,0.35,0.18
e_0,3.07,,2.41,2.04,1.94,2.54,0.89,0.39,0.95,0.67,0.3,0.68,,0.3,0.05,
g_0,1.43,2.09,1.52,1.69,2.0,2.01,0.29,0.37,,0.38,0.38,0.38,0.39,0.18,,
