,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.15,86.8,84.4,86.84,84.41,77.46,17.87,24.14,15.86,12.42,,20.27,10.71,17.59,27.07,11.93
e_1,60.37,1.15,91.24,89.19,84.41,84.5,22.22,26.0,18.0,17.25,18.18,18.17,13.64,,14.58,13.31
c_1,104.76,79.09,1.15,91.67,77.57,88.52,23.49,32.19,10.57,,16.22,18.17,13.64,22.76,18.05,15.04
d_1,101.77,101.69,120.57,1.15,110.38,,26.52,17.33,,19.41,14.63,18.82,11.25,21.5,14.04,8.24
b_1,98.94,122.72,56.27,97.06,1.15,123.93,32.88,29.39,22.2,36.53,25.0,,13.64,18.43,31.58,14.42
a_1,142.48,131.81,211.0,,82.0,1.15,41.1,48.29,33.3,,37.5,37.64,26.47,,,
h_1,75.79,104.68,91.24,94.29,82.0,92.95,2.0,27.04,15.14,23.88,26.09,21.08,,20.37,22.29,14.42
g_1,104.76,209.35,105.5,132.0,136.67,143.0,22.22,2.0,31.71,23.88,40.0,22.91,10.0,24.19,29.15,
d_0,67.21,60.32,105.5,,79.72,92.95,24.18,24.14,3.22,19.41,16.22,18.82,13.24,16.12,21.06,14.42
c_0,101.77,107.85,,46.48,110.38,,28.34,33.8,20.81,3.0,18.75,21.08,14.06,14.33,27.07,14.42
f_0,,93.66,116.41,132.0,110.38,88.52,25.69,14.7,22.2,18.82,2.93,25.1,15.52,24.19,,10.18
b_0,122.83,114.81,211.0,122.22,,109.35,41.1,24.14,22.97,11.29,28.57,3.03,21.43,,25.27,15.73
h_0,101.77,96.19,68.9,70.21,106.3,109.35,,42.25,17.08,16.78,15.38,11.98,,35.18,14.58,13.31
e_0,222.63,,140.67,220.0,179.38,,39.14,52.0,44.4,32.68,15.0,,20.45,3.05,29.15,17.3
a_0,222.63,187.32,211.0,206.25,205.0,,58.71,61.45,20.81,47.77,,15.97,15.0,24.19,3.03,24.71
g_0,161.91,131.81,93.78,137.5,179.38,,27.4,,26.64,22.18,22.22,31.0,11.54,17.59,16.48,
