,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.58,1.18,1.46,1.36,1.08,0.53,0.5,0.55,0.8,0.57,0.75,0.44,0.34,0.41,0.45
e_1,0.88,0.66,1.55,1.55,1.48,1.75,0.64,0.55,0.64,0.76,0.55,0.61,0.53,0.43,0.89,0.45
d_1,1.78,1.58,0.64,1.45,1.3,1.23,0.7,0.55,0.84,0.43,0.52,0.56,0.49,0.43,0.55,0.32
c_1,1.58,1.31,1.79,0.64,1.75,1.21,0.62,0.71,0.32,0.59,0.48,0.51,0.52,0.41,0.5,0.34
b_1,1.54,1.6,1.59,0.91,0.63,1.9,0.83,0.67,0.58,0.76,1.0,0.48,0.48,0.54,0.45,0.55
a_1,2.15,1.61,1.89,2.1,0.98,0.58,0.89,0.67,0.72,0.78,0.63,0.59,0.82,0.48,0.69,0.5
h_1,2.4,2.07,1.97,2.27,2.41,1.75,0.58,0.8,0.88,0.99,0.77,0.73,0.69,0.92,0.67,0.62
c_0,2.28,2.53,1.4,3.68,2.38,2.27,1.07,0.63,1.11,1.09,1.09,0.84,0.89,0.64,0.74,0.63
d_0,2.46,1.39,4.05,2.85,2.43,2.27,0.96,0.89,0.64,1.12,0.91,0.91,0.75,0.64,0.85,0.74
g_1,2.17,2.06,2.78,2.44,2.29,1.97,0.93,0.77,0.9,0.55,0.81,0.94,0.85,0.59,0.76,0.94
b_0,2.17,2.2,1.99,3.26,3.39,2.16,0.98,0.56,1.02,1.14,0.61,0.92,1.07,0.71,0.73,0.7
f_0,3.83,2.26,2.34,2.24,3.01,2.47,1.13,1.01,0.94,0.73,0.85,0.58,1.01,0.76,1.04,0.49
a_0,3.1,2.65,2.26,2.79,3.35,4.18,1.21,0.88,1.33,1.04,0.61,1.04,0.6,0.88,0.97,0.93
h_0,3.48,2.58,2.58,3.36,2.43,2.52,1.63,1.02,1.15,1.16,1.06,0.95,0.86,1.08,0.84,0.89
e_0,4.51,4.1,2.41,2.88,2.56,2.33,1.29,1.06,1.11,1.21,1.16,0.56,1.14,0.79,0.56,0.8
g_0,3.45,2.92,2.92,3.88,2.48,2.51,1.1,1.03,1.23,1.45,0.99,1.07,0.96,0.72,0.88,1.17
