,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,3.86,0.44,0.43,0.3,0.31,0.37,0.63,1.46,0.85,0.63,0.84,0.87,0.9,0.97,0.19,0.99
f_1,0.76,4.01,0.44,0.27,0.35,0.34,0.61,0.9,0.78,0.55,0.78,0.2,0.81,0.93,0.51,0.6
c_1,0.38,0.4,4.17,0.38,0.79,0.24,0.78,0.63,0.13,0.82,0.72,0.68,0.71,0.78,1.09,0.84
d_1,0.32,0.55,0.31,4.36,0.37,0.34,0.85,0.19,1.56,0.87,0.78,0.88,0.72,0.95,0.57,0.85
b_1,0.39,0.31,0.43,0.39,4.73,0.78,0.93,0.95,0.76,0.6,0.16,0.75,0.7,0.76,0.63,0.85
a_1,0.35,0.47,0.33,0.46,0.32,7.1,0.84,0.56,0.79,0.58,0.84,0.96,0.28,1.06,1.15,0.77
h_1,0.57,0.77,0.58,0.88,0.71,0.78,5.03,0.97,1.13,1.82,1.41,1.52,1.21,0.63,1.46,2.24
d_0,0.73,0.6,1.5,0.18,0.63,0.62,1.1,3.47,1.2,0.97,1.68,1.47,1.36,1.69,1.56,1.37
c_0,0.58,0.75,0.24,0.84,0.73,0.8,1.21,1.48,3.68,1.6,2.68,1.76,1.49,1.46,2.03,1.88
g_1,0.59,0.5,0.62,1.35,0.6,0.56,1.29,1.21,1.34,6.39,1.58,2.18,1.24,1.44,1.26,0.7
b_0,0.63,0.67,0.64,0.92,0.27,0.88,1.44,1.56,1.29,1.77,4.29,1.36,3.27,1.47,1.82,1.66
f_0,0.63,0.21,0.92,0.96,0.57,0.56,1.51,1.57,1.69,1.46,1.99,4.82,1.72,1.26,3.7,1.6
a_0,0.82,0.88,0.8,0.62,0.71,,1.31,1.6,1.62,1.68,1.47,1.46,5.91,1.44,1.45,1.77
h_0,0.58,0.99,0.73,0.77,0.6,0.66,0.69,1.13,1.37,1.52,1.62,1.62,1.33,0.59,1.73,2.04
e_0,0.26,0.61,1.0,0.93,0.86,0.69,0.99,1.65,1.32,1.36,1.74,1.75,1.73,1.91,7.2,1.73
g_0,0.48,0.55,0.66,1.24,0.62,0.75,1.19,1.3,1.48,0.67,1.62,2.25,1.18,1.75,1.69,0.75
