,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,15.38,1.43,0.44,0.48,0.53,0.46,0.89,0.88,0.83,0.88,1.0,0.39,0.81,0.74,0.53,0.72
e_1,0.59,16.22,0.47,0.69,0.51,0.55,0.92,0.83,2.19,0.91,1.01,1.01,0.97,1.07,0.44,0.89
d_1,0.68,0.45,20.13,0.4,0.54,0.49,0.92,2.4,0.29,0.81,1.23,1.07,1.34,1.08,1.12,1.18
c_1,0.47,0.48,0.51,19.71,1.43,0.47,0.77,0.34,0.84,0.76,0.59,1.14,0.82,0.69,0.97,0.63
b_1,0.56,0.49,0.63,0.55,19.12,1.36,0.66,0.7,0.86,0.84,0.36,0.78,0.59,1.02,1.0,1.08
a_1,0.7,0.38,0.69,0.65,0.48,28.27,1.02,0.86,0.87,0.91,0.94,0.86,0.41,1.21,1.15,1.07
h_1,1.19,0.71,0.75,0.74,0.57,0.56,4.87,1.09,1.16,1.38,1.36,1.16,1.28,0.71,1.17,1.73
c_0,0.75,0.71,1.08,0.48,0.49,0.7,1.25,2.92,0.92,1.25,3.12,1.09,1.7,1.28,1.23,1.39
d_0,0.68,0.69,0.41,2.22,0.68,0.64,1.11,0.69,2.83,1.04,1.01,1.2,1.09,1.19,1.13,1.13
g_1,0.53,0.49,1.47,0.81,0.63,0.66,1.2,1.06,0.93,6.14,1.18,2.33,1.2,1.31,1.26,0.83
b_0,0.77,0.79,0.88,0.8,0.31,0.64,1.32,1.27,1.13,1.29,3.3,1.36,3.0,1.3,1.21,1.32
f_0,0.45,0.52,0.81,0.93,0.8,0.77,1.47,1.02,1.01,1.09,0.91,3.93,1.08,1.35,3.86,1.51
a_0,0.96,0.78,1.1,0.73,0.59,0.47,1.39,1.2,1.29,1.06,1.2,0.93,3.82,1.57,1.21,1.21
h_0,0.97,0.73,0.87,0.74,0.56,0.84,0.51,1.14,1.22,1.48,1.39,1.1,1.07,0.72,1.46,1.63
e_0,0.88,0.31,0.64,0.92,0.87,0.83,1.4,1.36,1.1,1.37,1.58,1.13,1.25,1.79,4.96,1.66
g_0,0.58,0.64,1.72,0.77,0.52,0.75,1.1,1.22,0.93,0.63,1.2,2.09,1.06,1.03,1.48,0.78
