,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,1.34,1.42,1.15,1.17,1.1,0.32,0.42,0.23,0.2,0.22,0.2,0.16,0.23,0.22,0.1
f_1,1.03,0.42,1.19,1.24,1.19,0.95,0.24,0.29,0.22,0.4,0.24,0.37,0.13,0.24,0.22,0.19
e_1,1.32,0.69,0.41,1.38,1.41,1.21,0.33,0.29,0.27,0.45,0.26,0.31,0.2,0.25,0.34,0.25
c_1,1.7,1.26,1.01,0.4,1.11,1.07,0.36,0.15,0.36,0.34,0.25,0.24,0.17,0.24,0.26,0.18
b_1,1.47,1.52,1.28,0.75,0.38,1.72,0.41,0.25,0.36,0.35,0.54,0.25,0.2,0.29,0.23,0.19
a_1,1.46,1.72,1.7,1.72,0.78,0.33,0.44,0.31,0.36,0.49,0.47,0.44,0.22,0.64,0.39,0.24
h_1,2.04,2.07,2.17,2.29,1.97,1.88,0.3,0.49,0.43,0.68,0.44,0.46,0.4,0.36,0.43,0.36
d_0,3.99,2.09,1.3,2.51,2.26,2.44,0.86,0.34,0.54,0.83,0.58,0.67,0.4,0.46,0.53,0.52
c_0,1.38,2.55,2.51,3.54,3.0,2.41,0.75,0.78,0.33,0.73,0.5,0.45,0.39,0.44,0.46,0.35
g_1,2.27,2.41,2.34,2.82,2.53,2.29,0.57,0.51,0.47,0.28,0.5,0.49,0.25,0.41,0.43,0.45
b_0,1.96,2.8,2.64,3.66,3.49,2.31,0.74,0.54,0.3,0.66,0.3,0.46,0.34,0.45,0.55,0.36
f_0,2.44,3.8,2.76,2.79,2.7,2.48,0.71,0.62,0.47,0.48,0.56,0.29,0.39,0.55,0.46,0.25
h_0,3.01,3.01,2.74,3.04,2.96,2.46,1.16,0.64,0.58,0.8,0.55,0.6,0.57,0.52,0.46,0.44
a_0,2.44,3.37,2.94,3.06,4.3,4.27,1.06,0.63,0.5,1.11,0.37,0.59,0.4,0.29,0.62,0.42
e_0,2.85,4.62,4.05,2.97,3.1,2.92,0.83,0.78,0.67,0.73,0.66,0.31,0.45,0.58,0.29,0.35
g_0,3.28,3.5,3.36,3.83,3.59,3.23,0.77,0.74,0.71,1.14,0.73,0.67,0.36,0.67,0.53,0.59
