,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.4,1.78,2.2,2.11,1.81,0.88,0.84,0.81,0.62,0.57,0.69,0.49,0.51,0.73,0.4
f_1,2.33,1.06,1.81,2.06,2.05,1.44,0.59,0.73,0.64,0.51,0.58,0.7,0.35,0.51,0.42,0.52
d_1,2.86,2.62,1.05,1.96,1.8,1.7,0.84,0.54,1.05,0.74,0.65,0.55,0.56,0.54,0.6,0.35
c_1,1.94,2.3,3.07,1.06,2.27,1.85,0.86,0.81,0.43,0.74,0.63,0.71,0.52,0.65,0.63,0.49
b_1,2.3,2.47,2.96,1.56,1.07,2.74,0.98,1.19,0.68,0.84,0.94,0.75,0.53,0.68,0.61,0.57
a_1,3.17,4.45,3.65,4.11,1.94,1.07,1.32,1.38,1.08,1.19,1.25,1.02,1.03,1.19,0.78,0.83
h_1,5.05,6.67,4.97,5.11,5.42,4.11,1.31,2.13,1.44,1.39,1.48,1.55,1.56,1.5,1.15,1.22
g_1,6.83,7.58,6.8,6.81,5.25,5.23,1.92,1.31,1.8,1.82,1.71,1.94,1.15,1.54,1.86,1.51
d_0,4.22,6.66,8.67,7.88,6.63,5.48,3.16,2.68,1.51,1.88,2.05,2.01,1.4,2.35,1.6,1.56
c_0,7.26,7.53,4.04,13.33,6.81,5.47,2.87,2.37,2.61,1.51,2.45,2.09,1.56,1.88,1.7,1.61
b_0,8.02,7.55,6.07,8.67,9.42,5.88,2.85,2.74,2.35,1.29,1.52,1.89,1.79,2.46,1.59,1.68
f_0,7.86,11.3,7.16,6.99,7.32,5.24,2.99,1.85,2.21,2.28,2.69,1.49,1.77,2.41,2.39,1.29
h_0,8.89,9.92,8.56,9.8,9.05,6.42,4.23,3.57,2.82,2.46,2.35,2.33,2.69,2.17,1.85,2.24
a_0,10.79,10.82,8.14,9.59,10.63,11.71,3.69,4.02,2.86,2.45,1.5,2.6,2.61,1.53,2.28,1.81
e_0,12.82,17.23,9.27,8.65,9.52,9.55,4.19,3.11,3.26,2.84,3.16,1.69,2.43,2.16,1.61,2.06
g_0,11.21,10.32,12.11,11.41,10.29,7.34,3.43,4.42,3.26,3.13,2.98,3.0,1.75,2.76,2.61,2.72
