,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.78,0.6,0.45,0.48,0.63,0.75,2.02,2.02,0.9,5.54,3.18,3.31,5.02,3.19,4.52,3.26
f_1,0.51,5.9,1.1,0.62,0.5,0.47,2.11,2.13,2.69,2.66,2.61,0.8,4.57,2.81,5.06,1.65
e_1,0.58,0.61,5.93,0.62,0.62,0.62,2.24,1.81,4.95,2.92,3.02,2.87,3.58,2.92,3.77,0.71
c_1,0.54,0.51,0.56,7.1,1.07,0.53,2.66,2.53,3.1,0.53,1.93,3.21,4.14,2.57,3.85,3.31
b_1,0.69,0.55,0.6,0.61,7.61,1.01,1.81,2.05,2.67,2.41,0.68,3.46,3.91,2.81,4.62,3.04
a_1,0.63,0.6,0.57,0.55,0.53,10.78,2.49,2.59,2.83,2.93,3.11,3.22,3.55,0.7,4.28,2.78
h_1,1.06,1.57,0.87,1.03,1.0,0.85,15.12,5.79,4.44,4.09,4.19,4.39,3.25,5.64,8.55,5.34
g_1,1.72,0.85,0.86,1.24,1.0,0.6,2.96,17.56,4.15,5.08,4.91,6.29,6.97,4.95,1.34,5.1
d_0,0.44,1.15,1.08,1.97,0.98,0.86,4.23,3.27,13.46,4.04,5.69,4.83,7.85,4.39,6.92,7.57
c_0,1.05,1.21,0.99,0.56,1.05,1.22,4.31,3.57,5.62,13.2,10.61,5.66,10.02,6.57,5.99,7.38
b_0,1.27,1.4,0.92,1.25,0.37,0.86,4.43,3.98,4.95,5.74,15.48,4.56,9.21,10.28,8.83,4.45
f_0,1.36,0.5,0.89,0.93,1.07,1.06,4.72,3.66,5.9,5.8,5.61,17.35,6.88,6.91,8.17,15.06
h_0,1.12,1.84,0.96,0.79,1.04,0.92,1.49,4.15,4.33,5.3,5.01,5.16,2.88,5.25,9.16,4.26
a_0,0.91,1.32,1.28,1.26,0.71,,3.43,3.3,6.89,6.3,5.96,5.78,8.98,20.24,8.47,4.15
g_0,1.67,0.83,1.1,1.07,0.82,0.74,3.41,,4.21,4.75,5.48,8.04,6.59,5.25,3.15,6.03
e_0,1.42,1.3,0.51,1.16,1.2,0.79,4.32,3.53,4.5,5.06,7.07,5.38,11.48,4.15,8.65,24.83
