,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.68,7.61,5.16,5.52,4.84,4.29,2.05,2.67,1.91,2.05,2.07,,1.41,2.09,1.51,1.39
e_1,3.31,0.67,7.29,5.24,5.65,6.24,2.24,2.11,2.45,2.62,2.45,2.27,1.64,1.98,1.62,
d_1,6.56,6.41,0.66,5.8,6.33,4.92,2.64,1.98,,2.34,2.14,1.95,1.81,2.18,0.97,1.99
c_1,6.64,5.81,7.15,0.64,6.13,7.67,2.68,2.34,1.3,,2.28,2.3,1.71,2.33,1.83,
b_1,7.55,5.09,7.0,4.33,0.62,5.09,4.23,2.92,1.86,2.69,,2.2,1.76,1.78,2.28,2.69
a_1,9.52,6.25,6.87,5.83,5.94,0.58,3.63,2.88,2.58,2.7,2.69,2.97,2.45,,1.94,
h_1,5.35,6.92,4.82,4.6,3.6,4.73,0.61,2.2,1.93,1.57,1.57,1.42,,1.71,1.9,1.83
g_1,4.91,6.11,5.49,5.58,5.84,5.59,1.94,0.58,2.36,1.88,1.39,2.16,1.48,,,
d_0,4.85,3.05,,5.76,6.12,6.04,1.98,2.01,0.71,1.93,1.91,1.52,1.29,,1.06,1.99
c_0,5.59,4.32,3.12,,4.47,4.88,2.1,3.04,1.72,0.71,2.06,1.55,1.38,2.06,1.51,1.66
b_0,4.94,5.44,4.9,6.21,,4.24,2.36,2.75,1.59,1.16,0.69,2.13,1.35,1.89,1.35,1.71
f_0,,4.95,4.69,4.72,6.8,4.8,3.43,1.64,1.86,1.96,1.83,0.66,1.44,1.71,1.27,
h_0,4.48,5.28,3.77,4.68,3.78,3.09,,2.05,1.89,1.49,1.84,1.79,,1.65,1.35,1.22
a_0,5.13,6.31,7.18,4.91,7.79,,2.48,,,2.02,1.58,2.04,1.47,0.62,1.94,1.81
g_0,6.35,5.72,6.73,5.07,4.3,5.87,1.45,,2.46,1.78,1.72,1.75,1.19,1.33,,1.44
e_0,8.55,,6.38,,5.04,,2.34,,1.91,1.79,2.06,,2.05,1.73,1.96,0.61
