,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.92,1.35,2.03,1.81,4.71,26.44,46.2,39.43,33.86,46.94,57.14,91.59,155.9,147.74,203.67
f_1,1.09,1.0,1.15,1.29,1.66,3.17,17.39,27.28,32.84,29.48,44.18,39.19,66.67,81.29,119.78,139.94
d_1,0.73,0.86,1.0,1.01,1.21,2.58,17.14,24.49,20.72,32.79,35.7,41.06,60.99,97.49,90.05,95.72
c_1,0.49,0.78,1.0,1.0,1.68,2.77,15.98,12.89,26.39,20.46,31.85,38.16,57.26,70.86,79.67,99.79
b_1,0.56,0.59,0.81,0.6,1.0,3.62,13.65,17.67,21.65,20.7,32.51,35.06,63.37,67.41,79.36,99.6
a_1,0.21,0.32,0.39,0.36,0.28,1.0,6.62,7.93,8.35,11.04,13.56,13.69,22.09,32.43,33.83,49.11
h_1,0.04,0.06,0.06,0.06,0.07,0.15,1.0,1.3,1.81,1.44,1.98,1.88,3.81,4.84,5.55,7.69
d_0,0.02,0.04,0.04,0.08,0.05,0.13,0.8,1.0,1.2,1.1,1.5,1.88,2.65,3.55,4.52,6.19
g_1,0.03,0.03,0.05,0.04,0.05,0.12,0.55,0.81,1.0,1.03,1.34,1.94,2.12,3.57,3.86,4.35
c_0,0.03,0.03,0.03,0.05,0.05,0.09,0.71,0.86,0.95,1.0,1.86,1.53,2.38,3.63,3.99,4.39
b_0,0.02,0.02,0.03,0.03,0.03,0.08,0.5,0.68,0.77,0.56,1.0,1.18,1.92,2.64,4.15,3.42
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.53,0.51,0.52,0.7,0.91,1.0,1.57,2.88,2.05,2.59
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.26,0.37,0.47,0.41,0.55,0.66,1.0,1.4,1.38,2.44
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.25,0.28,0.31,0.4,0.36,0.72,1.0,0.96,1.41
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.22,0.27,0.24,0.24,0.5,0.7,1.12,1.0,1.22
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.16,0.23,0.22,0.31,0.42,0.42,0.7,0.79,1.0
