,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.17,1.87,2.26,2.11,1.93,0.67,0.71,0.61,0.68,0.58,0.81,0.36,0.45,0.53,0.47
e_1,1.52,1.06,2.42,2.45,1.83,1.71,0.94,0.98,0.69,0.8,0.7,0.8,0.54,0.79,0.52,0.83
d_1,2.64,2.62,1.06,2.2,1.96,1.59,0.94,0.63,0.77,1.27,0.68,0.65,0.53,0.59,0.35,0.62
c_1,2.42,2.05,2.85,1.06,2.76,2.37,0.93,0.86,0.9,0.45,0.68,0.71,0.59,0.65,0.51,0.61
b_1,3.3,3.7,3.14,1.65,1.07,3.05,1.06,1.13,0.95,0.87,1.22,0.76,0.74,0.74,0.79,0.69
a_1,4.57,4.25,3.89,4.16,1.88,1.07,1.51,1.3,1.07,1.05,1.53,0.97,0.94,2.01,0.76,0.92
h_1,6.23,5.6,5.45,5.99,5.86,4.57,1.34,2.39,1.52,1.83,1.62,1.65,1.76,1.34,1.41,1.5
g_1,8.0,6.9,7.57,6.78,6.41,6.28,1.94,1.35,2.23,2.11,2.18,2.01,1.41,1.8,1.84,2.04
c_0,7.89,7.3,4.5,11.38,7.51,6.33,2.99,2.73,1.54,2.28,2.52,2.01,1.65,2.01,1.49,1.82
d_0,7.51,4.43,10.1,9.5,7.39,7.43,2.86,3.24,2.58,1.54,2.23,2.21,1.66,1.64,1.75,1.83
b_0,8.32,7.5,6.3,9.67,13.28,5.24,2.81,2.79,1.36,2.61,1.49,2.11,1.66,3.05,1.56,1.81
f_0,13.95,7.84,7.38,7.14,10.04,6.41,3.24,2.42,2.31,2.19,2.43,1.55,1.99,2.0,1.24,2.43
h_0,11.54,9.2,8.63,9.33,8.65,7.08,4.77,3.7,2.94,3.36,2.56,2.76,3.11,2.46,2.32,2.01
a_0,13.07,8.28,10.41,10.14,12.27,11.65,4.35,3.54,3.13,3.71,1.74,2.85,2.18,1.58,2.37,2.73
g_0,12.31,11.74,12.2,12.12,10.44,8.29,3.44,5.65,2.75,3.37,3.04,3.77,1.89,2.84,3.32,2.69
e_0,15.27,14.52,11.28,11.75,11.24,9.13,4.08,3.31,3.02,3.11,3.28,1.71,2.81,2.5,2.97,1.6
