,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.72,0.92,0.97,0.89,0.67,0.51,0.45,0.66,0.41,0.39,0.45,0.32,0.32,0.41,0.35
f_1,1.38,1.0,0.88,0.94,0.73,0.76,0.36,0.4,0.43,0.38,0.4,0.34,0.28,0.31,0.26,0.29
d_1,1.09,1.13,1.0,0.99,0.78,0.78,0.57,0.38,0.43,0.62,0.38,0.39,0.38,0.37,0.26,0.29
c_1,1.03,1.07,1.01,1.0,1.4,0.66,0.55,0.47,0.35,0.38,0.33,0.42,0.39,0.29,0.3,0.32
b_1,1.13,1.36,1.29,0.72,1.0,1.1,0.61,0.63,0.4,0.53,0.49,0.49,0.37,0.37,0.32,0.35
a_1,1.49,1.32,1.28,1.53,0.91,1.0,0.86,0.62,0.6,0.6,0.63,0.62,0.57,,0.42,0.41
h_1,1.87,2.82,1.8,1.83,1.66,1.17,1.0,1.03,0.94,0.8,0.8,0.79,0.89,0.66,0.69,0.54
g_1,2.22,2.4,2.62,2.22,1.59,1.56,0.94,1.0,0.92,0.76,0.84,1.0,0.73,0.77,0.69,0.65
d_0,1.46,2.52,2.34,2.94,2.49,1.6,1.03,1.12,1.0,0.87,0.96,0.76,0.96,0.73,0.83,0.59
c_0,2.47,2.72,1.67,2.5,1.85,1.6,1.19,1.33,1.16,1.0,1.46,0.78,1.04,0.76,0.86,0.75
b_0,2.49,2.52,2.54,3.45,1.75,1.34,1.25,1.22,0.99,0.67,1.0,0.93,0.86,1.16,0.71,0.74
f_0,2.3,2.92,2.58,2.5,2.12,1.53,1.34,1.0,1.33,1.28,1.07,1.0,0.9,0.95,0.73,1.14
h_0,3.01,3.67,2.61,2.74,2.44,1.75,1.09,1.44,1.04,0.99,1.14,1.05,1.0,0.84,1.18,0.73
a_0,3.01,3.12,2.61,3.69,2.64,,1.58,1.37,1.36,1.33,0.84,1.0,1.18,1.0,1.01,0.77
g_0,2.44,3.92,3.82,3.11,3.22,2.31,1.45,1.46,1.29,1.12,1.34,1.37,0.83,1.03,1.0,0.9
e_0,2.95,3.62,3.43,2.92,2.82,2.62,2.01,1.43,1.69,1.27,1.53,0.87,1.19,1.35,1.01,1.0
