,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,1.11,0.99,1.04,0.89,1.17,1.2,1.25,1.33,1.07,1.06,0.93,1.13,1.08,1.07
f_1,1.36,1.0,0.95,1.16,0.85,0.98,0.85,0.89,0.9,0.94,0.99,0.94,0.87,0.78,0.77,1.06
d_1,0.9,1.06,1.0,0.89,1.09,1.13,1.05,0.9,1.24,1.25,0.91,0.98,0.9,0.88,1.21,0.73
c_1,1.01,0.86,1.12,1.0,1.39,1.05,1.08,0.82,0.55,0.73,1.02,0.86,1.02,1.02,0.96,0.97
b_1,0.96,1.17,0.92,0.72,1.0,1.33,1.17,0.99,1.03,0.99,1.14,1.21,0.98,1.12,0.82,1.11
a_1,1.12,1.02,0.88,0.95,0.75,1.0,1.04,1.05,1.02,1.23,1.03,1.02,1.19,1.1,1.28,1.03
h_1,0.85,1.24,0.96,0.96,0.87,0.96,1.0,1.45,0.93,1.0,0.93,1.02,1.16,1.13,0.98,1.41
g_1,0.86,1.1,1.16,1.18,0.98,0.9,0.69,1.0,0.94,0.77,1.18,1.04,1.01,0.92,0.79,1.28
c_0,0.82,1.18,0.81,,0.91,0.96,1.06,1.01,1.0,0.95,1.05,1.62,1.17,1.02,1.13,1.21
d_0,0.74,1.11,0.84,1.38,0.96,0.79,1.0,1.29,1.01,1.0,0.83,1.01,1.06,1.24,0.94,1.07
f_0,0.89,1.12,1.06,1.04,0.88,0.93,1.04,0.89,0.95,1.2,1.0,0.87,0.99,1.1,1.56,0.87
b_0,0.94,1.06,0.95,1.21,0.81,0.96,0.96,1.02,0.66,0.95,1.14,1.0,1.55,1.01,0.84,1.09
a_0,1.01,1.18,1.06,1.03,1.01,0.74,0.89,1.01,0.83,0.92,1.03,0.65,1.0,1.09,1.0,0.97
h_0,0.86,1.26,1.18,1.01,0.84,0.87,0.89,1.08,0.97,0.81,0.9,0.97,0.92,1.0,0.82,1.09
e_0,0.92,1.31,0.84,1.05,1.22,0.81,0.95,1.28,1.0,1.15,0.65,1.17,0.94,1.17,1.0,0.88
g_0,0.91,0.97,1.37,0.99,0.87,0.88,0.69,0.79,0.81,0.94,1.16,0.96,1.01,0.91,1.06,1.0
