,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,11925.95,1457.92,1357.86,2063.76,2803.23,11945.14,1583670.17,6754097.98,2263454.01,4137399.49,8603268.58,14222111.66,36850154.37,23407043.65,44718017.51,66770922.65
f_1,2873.15,14957.45,1608.02,1111.11,2064.9,10796.29,1277434.84,2570319.99,2559807.57,5755838.96,1779780.66,8749317.01,41042931.2,32558268.79,61322615.75,63962319.99
d_1,932.76,1751.17,18776.49,1513.29,3131.33,10984.74,1461442.44,743409.47,3167272.61,9467070.04,8897814.74,10876582.94,37385371.6,48926728.62,40471149.79,81518801.5
c_1,845.57,1254.95,1732.94,18713.1,6501.48,12027.52,1507933.26,3358360.13,2263029.63,817943.33,9009969.44,8409592.37,47434046.42,45700523.61,44194520.33,90432392.38
b_1,1131.12,1341.73,1814.1,1771.83,37510.67,22211.51,1423845.86,3243252.66,2251657.56,3848329.14,9150114.85,3810124.78,40795321.08,52958307.21,39595058.37,86713449.1
a_1,1083.91,1734.86,1949.57,1719.1,2375.89,210705.22,1207506.3,3745323.41,2792864.68,3251788.18,7237774.67,11112638.27,51079089.47,57457592.44,12070872.79,73538181.76
h_1,1406.94,3369.98,3111.07,3546.48,4905.23,17583.03,9988290.91,5494827.59,6460321.95,7339168.65,12604313.61,18977576.03,29540867.24,89343557.47,98233862.68,199555008.74
d_0,2041.55,2045.58,1171.77,6278.57,5148.55,17359.81,2743261.48,14399950.68,5267499.48,6783741.67,16894451.61,25524616.62,58236202.92,99104068.94,115289891.62,135544929.25
g_1,1759.45,2256.73,4426.89,3325.25,4894.46,18748.16,2193278.85,3909871.73,23286339.37,7010111.28,24284507.15,17616220.98,66895975.37,98215702.16,103778373.21,53230965.62
c_0,2544.21,2963.9,3883.75,1211.54,3794.25,19590.41,2868598.75,6095247.93,4683414.75,23980777.86,17111433.77,38267494.96,71986780.2,79188272.79,102206289.34,185064467.23
f_0,1801.51,822.37,3439.71,3664.87,5913.81,26272.02,2586203.85,6804285.74,6205993.95,6942430.61,46099988.68,24208102.57,78201114.24,182051390.02,125064197.41,149778400.87
b_0,1787.02,3886.33,3070.54,3272.37,1670.02,12112.74,2816978.32,7030053.39,5711067.9,8566885.4,14547486.26,67329978.97,72388891.97,105758060.73,218121543.43,168135072.2
h_0,1828.15,3640.29,3204.4,3159.93,4780.33,20225.29,1393676.52,6444047.84,6547655.94,8665276.44,16561847.79,19886398.62,23275945.34,88294924.16,84244632.98,169616200.34
e_0,905.36,3318.69,3115.25,3630.56,5721.14,21301.1,3052373.97,6778126.44,6365478.93,8533585.31,13319954.18,20563382.4,114007821.85,383237543.17,131988689.97,208318062.63
a_0,2482.38,2566.32,3140.3,3545.39,5190.43,7157.47,3329130.77,5991701.62,6416675.81,9717322.65,15345240.2,21189410.91,68103570.28,62492922.2,366627386.42,155801660.96
g_0,1462.94,2119.03,5397.57,2644.16,5096.38,17383.72,2436054.41,5292655.29,2997019.88,9330262.24,22994962.22,19879824.6,74353433.04,96321735.45,115448693.13,69605964.23
