,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.32,1.46,0.74,0.74,0.65,0.51,1.59,1.77,1.13,1.47,1.6,1.09,2.18,1.31,0.88,1.9
e_1,0.94,2.35,1.03,0.61,0.82,0.64,1.43,2.94,1.28,1.59,1.52,1.49,1.97,1.34,1.06,1.96
c_1,0.78,0.73,2.44,0.7,1.47,0.68,1.49,1.67,1.24,0.78,0.99,1.46,2.08,1.56,1.49,1.78
d_1,1.0,0.75,0.68,2.5,0.67,0.59,1.42,1.28,1.47,3.14,2.04,1.45,2.32,1.58,1.52,2.0
b_1,0.88,0.78,0.84,0.72,2.6,1.27,1.49,1.68,1.27,1.38,0.87,1.71,2.1,1.18,1.4,1.76
a_1,0.87,0.88,0.89,0.96,0.68,3.16,1.52,1.73,1.69,1.63,1.39,1.66,2.34,0.82,1.39,1.62
h_1,1.32,0.94,0.9,0.95,0.66,0.52,3.35,1.64,1.76,1.72,1.63,1.51,1.81,1.54,1.45,2.85
d_0,0.98,0.87,1.6,0.6,0.87,0.7,1.64,2.93,1.45,1.31,1.77,1.43,1.99,1.53,1.65,2.08
g_1,0.81,0.78,0.99,1.43,0.75,0.61,1.47,1.58,3.64,1.85,1.7,2.76,2.09,1.41,1.91,1.65
c_0,1.04,0.89,0.8,1.04,0.61,0.67,1.67,2.11,1.73,3.16,3.42,1.69,2.87,2.18,1.65,2.33
b_0,1.06,1.01,1.0,0.97,0.5,0.44,1.85,2.04,1.84,2.07,3.51,1.97,2.68,3.5,1.48,2.41
f_0,0.77,0.8,1.09,1.15,0.82,0.64,1.66,1.93,1.6,1.73,1.76,3.3,2.85,1.63,3.48,2.43
h_0,1.26,0.92,0.85,1.04,0.87,0.63,1.3,1.6,1.87,1.77,1.46,1.65,1.69,1.61,1.6,2.94
a_0,1.0,0.97,1.02,1.01,0.82,0.47,1.87,1.81,1.63,1.66,1.9,2.07,2.4,3.37,2.08,2.18
e_0,0.94,0.56,1.01,1.13,0.87,0.7,1.75,1.91,1.51,1.76,1.98,1.84,2.84,1.72,3.72,2.65
g_0,0.98,0.76,0.96,1.45,0.81,0.71,1.54,1.47,1.13,1.62,1.78,2.4,2.6,1.87,1.73,1.81
