,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.13,6.63,3.05,5.74,5.18,4.64,1.55,1.34,1.07,2.25,1.26,1.12,0.71,0.94,2.76,1.31
d_1,7.12,1.11,6.11,6.5,5.02,5.12,1.5,3.88,0.92,0.88,1.05,0.85,0.73,0.44,1.01,0.94
f_1,4.77,5.69,1.13,5.5,4.77,4.96,1.23,0.98,1.12,1.79,1.05,2.97,0.58,1.19,1.21,1.18
c_1,4.38,7.09,4.98,1.13,6.75,5.44,1.46,0.61,2.31,1.39,1.15,1.24,0.86,0.74,1.06,0.93
b_1,6.49,6.79,9.22,3.19,1.14,10.42,1.92,1.47,1.62,2.04,2.94,1.1,1.16,1.01,1.34,1.2
a_1,13.34,9.74,7.93,12.42,4.92,1.14,3.04,2.19,1.91,4.14,2.91,2.12,1.61,1.46,1.66,4.26
h_1,18.06,19.26,20.54,16.33,20.16,14.23,1.8,3.9,4.18,5.03,3.09,3.07,4.7,2.24,3.37,3.29
d_0,10.33,45.37,24.53,25.69,24.72,20.09,6.45,2.26,4.71,6.96,5.07,4.16,3.17,3.49,5.31,3.69
c_0,22.43,11.09,25.26,48.07,25.38,20.3,7.05,6.83,2.32,6.54,4.53,4.3,3.24,3.33,4.57,3.86
g_1,22.72,21.02,25.83,23.7,22.93,20.96,5.17,5.31,5.7,1.82,5.81,5.07,2.64,4.78,4.57,4.05
b_0,25.52,19.26,29.65,32.36,53.64,21.42,6.71,4.86,2.69,6.35,2.2,4.23,3.69,3.82,4.2,3.95
f_0,25.52,22.99,69.59,29.52,31.59,23.48,7.85,6.63,5.3,4.67,5.25,2.43,4.08,2.49,4.15,4.55
h_0,30.89,30.79,28.42,36.58,34.25,36.09,15.7,7.42,6.87,12.58,6.52,6.39,8.73,4.78,4.81,5.53
g_0,31.17,41.05,50.9,45.47,40.04,38.98,9.04,10.15,8.21,15.95,7.7,6.39,4.55,11.34,6.94,6.78
e_0,76.57,26.12,53.28,40.54,56.86,42.37,10.53,10.62,7.65,8.84,8.98,4.71,6.39,5.95,2.49,6.15
a_0,41.44,37.89,51.67,50.98,51.69,81.21,12.06,8.52,8.52,13.35,4.74,9.42,7.51,7.41,10.31,2.89
