,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.39,1.04,1.23,1.02,1.3,1.15,2.26,2.34,4.24,2.29,2.74,2.18,2.37,3.47,2.25,3.3
f_1,1.62,2.44,1.2,1.13,1.07,0.95,1.84,2.05,2.14,2.11,1.6,2.45,2.37,2.7,1.84,2.89
c_1,1.17,1.07,2.54,1.08,1.66,1.02,2.26,2.01,1.83,1.53,2.52,2.11,2.57,3.26,2.49,2.81
d_1,1.19,1.17,0.97,2.6,1.01,1.17,2.19,2.14,1.48,3.94,2.71,2.97,3.08,2.99,2.52,2.79
b_1,0.94,1.14,1.05,1.25,2.64,1.82,2.21,2.04,2.65,2.64,2.53,2.09,2.02,3.05,2.58,3.81
a_1,1.0,1.37,1.27,1.15,0.99,3.39,2.46,2.07,2.47,2.77,2.35,2.51,1.34,3.19,3.21,2.55
h_1,1.27,1.62,1.17,1.23,1.13,1.13,3.92,3.04,2.6,2.33,2.35,2.66,2.51,2.47,2.68,3.86
g_1,1.17,1.11,1.3,1.81,1.15,1.23,2.13,4.3,2.14,2.81,3.66,2.71,2.49,3.2,2.89,2.46
d_0,0.99,1.43,2.17,0.88,1.14,1.12,2.45,2.38,3.77,2.1,2.61,2.56,2.65,3.16,2.31,3.87
c_0,1.36,1.53,1.02,1.11,1.1,1.13,2.7,2.63,2.75,4.26,2.86,4.88,3.0,3.45,2.78,3.69
f_0,1.22,1.1,1.43,1.22,1.19,1.24,2.7,2.23,2.91,2.65,4.37,3.27,3.31,3.77,5.23,2.97
b_0,1.33,1.3,1.39,1.38,0.64,0.87,2.47,3.1,2.42,2.55,2.62,4.54,4.58,3.34,2.9,3.3
a_0,1.33,1.35,1.31,1.18,1.3,1.01,2.6,2.84,2.46,2.66,3.24,2.34,4.82,3.37,3.24,3.13
h_0,1.15,1.76,1.22,1.32,1.14,1.07,1.77,2.83,2.88,2.88,2.28,2.51,3.26,2.55,2.63,4.06
e_0,0.76,1.66,1.21,1.47,1.3,1.29,2.64,2.31,2.55,3.11,2.2,2.71,2.21,3.82,5.11,3.26
g_0,1.1,1.28,1.41,1.78,1.01,1.17,2.32,1.84,2.25,2.43,3.86,2.83,2.87,2.96,3.29,2.82
