,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.93,0.11,0.11,0.07,0.06,0.08,0.08,0.05,0.09,,0.05,0.06,0.06,0.07,0.03,0.06
f_1,0.11,0.93,0.17,0.08,0.09,0.05,0.06,0.06,0.07,0.08,0.06,,0.04,0.05,0.05,0.05
e_1,0.09,0.09,0.93,0.11,0.08,0.07,0.07,0.06,0.06,0.11,0.06,0.06,0.05,0.07,,0.06
c_1,0.12,0.15,0.1,0.93,0.15,0.07,0.07,0.07,,0.06,0.03,0.06,0.04,0.07,0.04,0.05
b_1,0.14,0.12,0.11,0.08,0.93,0.12,0.08,0.08,0.07,0.08,,0.05,0.03,0.06,0.04,0.05
a_1,0.11,0.1,0.11,0.12,0.11,0.93,0.1,0.05,0.08,0.07,0.07,0.07,,0.06,0.07,0.07
h_1,0.3,0.45,0.26,0.21,0.19,0.15,0.71,0.23,0.21,0.15,0.19,0.12,0.12,,0.09,0.18
g_1,0.44,0.24,0.19,0.28,0.2,0.22,0.21,0.71,0.17,0.18,0.24,0.2,0.11,0.2,0.15,
c_0,0.41,0.34,0.4,,0.23,0.22,0.2,0.22,0.59,0.25,0.31,0.17,0.18,0.18,0.15,0.17
d_0,,0.35,0.32,0.62,0.32,0.27,0.29,0.18,0.18,0.56,0.22,0.23,0.2,0.2,0.15,0.1
b_0,0.44,0.37,0.34,0.52,,0.21,0.28,0.21,0.22,0.22,0.58,0.2,0.21,0.18,,0.15
f_0,0.35,,0.27,0.31,0.33,0.23,0.32,0.21,0.32,0.22,0.21,0.58,0.16,0.16,0.32,0.21
a_0,0.35,0.44,0.34,0.47,0.42,,0.27,0.23,0.23,0.2,0.22,0.22,0.59,0.24,,0.16
h_0,0.55,0.7,0.47,0.38,0.38,0.29,,0.28,0.35,0.31,0.26,0.27,0.26,,0.15,0.28
e_0,0.48,0.32,,0.4,0.51,0.23,0.3,0.2,0.26,0.27,,0.2,,0.29,0.57,0.21
g_0,0.68,0.49,0.41,0.46,0.38,0.25,0.33,,0.31,0.39,0.29,0.35,0.24,0.3,0.23,
