,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.19,0.87,1.61,1.74,2.18,2.31,0.49,0.31,0.36,0.25,0.59,0.44,0.27,0.38,1.37,0.36
f_1,1.52,0.18,1.83,1.65,1.52,1.51,0.31,0.4,0.26,0.35,0.47,0.92,0.19,0.39,0.27,0.3
c_1,1.4,1.6,0.16,3.04,1.46,1.56,0.42,0.17,1.27,0.37,0.51,0.34,0.2,0.33,0.37,0.21
d_1,1.92,1.9,1.52,0.15,1.56,1.67,0.43,1.64,0.28,0.37,0.31,0.32,0.21,0.34,0.29,0.15
b_1,1.54,1.78,0.84,1.72,0.13,1.92,0.6,0.47,0.36,1.74,0.57,0.47,0.39,0.38,0.3,0.2
a_1,2.01,1.88,1.67,1.51,0.86,0.09,0.47,0.51,0.49,0.49,0.49,0.28,0.21,1.4,0.32,0.29
h_1,1.01,1.04,0.89,0.91,1.02,0.82,0.06,0.19,0.17,0.16,0.21,0.18,0.29,0.18,0.17,0.15
d_0,0.52,1.19,1.07,2.29,0.85,0.82,0.35,0.08,0.2,0.17,0.32,0.15,0.16,0.16,0.32,0.15
c_0,1.02,1.09,4.25,0.47,1.02,0.67,0.3,0.21,0.07,0.16,0.21,0.18,0.12,0.16,0.16,0.1
b_0,0.7,1.23,1.49,0.6,2.57,0.8,0.28,0.16,0.12,0.06,0.23,0.16,0.13,0.15,0.18,0.16
g_1,1.05,1.03,1.22,0.72,1.32,0.94,0.19,0.19,0.19,0.18,0.04,0.14,0.11,0.13,0.14,0.42
f_0,0.84,3.22,1.07,0.69,0.87,0.8,0.25,0.25,0.17,0.19,0.17,0.05,0.11,0.15,0.15,0.07
h_0,0.78,1.11,1.11,0.83,1.04,0.64,1.02,0.19,0.18,0.21,0.29,0.14,0.27,0.2,0.15,0.12
a_0,0.78,0.81,1.25,0.91,1.01,2.2,0.42,0.21,0.17,0.09,0.21,0.2,0.13,0.04,0.17,0.14
e_0,2.36,1.15,0.75,0.83,0.88,0.66,0.22,0.21,0.18,0.28,0.28,0.09,0.14,0.18,0.04,0.16
g_0,0.89,1.08,0.85,0.76,1.03,1.07,0.23,0.18,0.2,0.18,,0.17,0.1,0.17,0.19,0.31
