,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.35,0.4,0.26,0.27,0.29,0.35,0.53,0.62,0.39,0.57,0.61,,0.81,0.71,0.8,0.54
e_1,0.23,2.43,0.21,0.3,0.25,0.21,0.51,0.61,0.45,1.05,0.59,0.72,0.88,0.61,0.81,
d_1,0.3,0.3,2.45,0.26,0.33,0.24,0.6,0.85,0.52,,0.71,0.51,0.63,0.54,0.74,0.74
c_1,0.3,0.23,0.34,2.51,0.38,0.27,0.65,,0.46,0.59,0.57,0.52,0.76,0.44,0.92,0.73
b_1,0.26,0.28,0.32,0.27,2.77,0.45,0.62,0.66,0.43,0.62,,0.52,0.83,0.69,0.62,0.51
a_1,0.23,0.3,0.31,0.3,0.22,3.39,0.54,0.69,,0.85,0.51,0.59,0.77,,0.58,
h_1,0.58,0.57,0.55,0.47,0.49,0.64,3.7,1.18,1.35,1.2,1.31,1.07,,0.91,1.94,1.03
c_0,0.51,0.63,0.55,,0.5,0.57,1.37,3.47,1.3,1.44,2.37,1.38,1.95,1.32,1.45,1.35
g_1,0.71,0.63,0.62,0.63,0.66,,1.03,1.16,4.3,0.76,1.24,1.45,1.03,1.01,,
d_0,0.67,0.47,,0.89,0.64,0.44,1.24,1.28,1.29,3.5,1.52,1.46,1.73,1.73,1.91,1.52
b_0,0.71,0.71,0.35,0.55,,0.55,0.82,1.15,1.39,1.48,3.8,2.16,1.67,,1.46,1.41
f_0,,0.42,0.69,0.72,0.66,0.67,1.25,1.56,1.25,1.36,1.26,3.81,1.95,1.71,1.31,2.32
h_0,1.0,0.78,0.86,0.83,0.58,0.63,,1.72,2.06,1.62,1.73,1.25,,1.29,2.46,1.45
a_0,0.61,0.58,0.83,0.71,0.63,,1.12,1.32,1.26,1.34,,1.32,2.32,4.48,1.52,
g_0,0.75,0.68,0.97,0.63,0.82,0.84,1.44,1.52,,1.4,1.69,2.76,1.95,1.63,,1.5
e_0,0.58,,0.65,0.59,0.65,,1.37,1.83,,1.59,1.21,1.42,1.87,,1.96,4.76
