,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.41,4.05,3.55,3.66,3.93,3.88,1.74,,1.47,2.03,1.75,1.64,1.0,2.09,1.28,0.92
e_1,3.1,0.41,2.22,3.28,4.08,3.76,2.38,1.58,2.29,1.72,2.13,1.76,1.44,1.24,,1.59
f_1,3.97,4.87,0.41,3.59,3.2,5.01,1.36,1.67,2.43,1.49,,1.7,0.89,1.52,1.3,1.42
c_1,3.89,3.44,3.41,0.4,3.76,4.22,1.75,0.94,2.08,,1.33,1.64,1.58,1.9,,1.83
b_1,3.66,3.65,4.72,2.5,0.36,3.83,1.96,1.2,1.92,2.08,1.23,,1.4,2.11,1.74,1.6
a_1,2.98,3.45,3.01,3.59,2.39,0.31,2.38,1.35,2.07,2.12,1.97,2.05,1.64,,,1.35
h_1,1.74,1.73,1.81,2.15,1.59,1.75,0.26,0.97,1.42,0.69,0.74,0.74,,0.7,0.91,0.7
d_0,,1.08,1.67,1.99,1.85,1.44,0.9,0.3,0.82,0.69,0.73,0.62,0.54,0.7,0.58,0.7
g_1,2.3,1.71,1.52,1.83,1.92,1.81,0.65,1.02,0.23,1.08,0.76,0.81,0.65,,0.77,
c_0,0.96,1.62,1.61,,1.65,1.44,0.89,0.8,0.68,0.28,0.9,1.05,0.76,0.63,0.7,0.55
f_0,1.46,1.59,,1.67,1.9,1.35,1.02,0.79,0.59,0.73,0.27,0.76,0.61,0.6,0.9,0.43
b_0,1.99,1.54,1.54,1.94,,1.57,1.02,0.87,0.7,0.41,0.68,0.26,0.57,1.18,0.81,0.54
h_0,1.46,1.35,1.78,0.96,1.35,1.25,,0.62,0.67,0.53,0.59,0.52,,0.61,0.46,0.46
a_0,1.32,1.83,1.86,1.9,1.78,,0.8,0.77,,0.93,0.77,0.36,0.65,0.22,,0.55
e_0,2.15,,2.17,,1.39,,0.74,0.73,0.82,0.78,0.44,0.76,0.65,,0.22,0.64
g_0,1.65,1.46,1.42,1.01,1.14,1.35,0.61,0.6,,0.49,0.62,0.69,0.45,0.66,0.57,
