,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.49,0.23,0.28,0.22,0.17,0.17,0.18,0.14,0.16,0.09,0.15,0.13,0.11,0.09,0.13
e_1,0.27,0.94,0.33,0.23,0.21,0.19,0.17,0.3,0.19,0.18,0.18,0.17,0.21,0.07,0.13,0.11
c_1,0.36,0.26,0.94,0.28,0.41,0.19,0.19,0.16,0.15,0.05,0.16,0.14,0.18,0.09,0.12,0.17
d_1,0.31,0.33,0.26,0.94,0.21,0.18,0.22,0.1,0.15,0.3,0.2,0.16,0.16,0.13,0.12,0.13
b_1,0.37,0.31,0.24,0.33,0.93,0.35,0.18,0.21,0.16,0.15,0.17,0.09,0.19,0.12,0.14,0.15
a_1,0.39,0.34,0.4,0.34,0.21,0.93,0.19,0.26,0.16,0.19,0.17,0.18,0.21,0.14,0.07,0.15
h_1,0.81,0.51,0.55,0.46,0.45,0.34,0.72,0.31,0.42,0.39,0.24,0.28,0.21,0.18,0.2,0.31
d_0,0.7,0.5,0.9,0.32,0.46,0.33,0.43,0.61,0.3,0.37,0.43,0.33,0.34,0.18,0.2,0.38
g_1,0.65,0.52,0.52,0.77,0.46,0.41,0.33,0.34,0.72,0.26,0.47,0.33,0.29,0.28,0.24,0.21
c_0,0.68,0.69,0.38,0.54,0.51,0.36,0.35,0.36,0.4,0.61,0.35,0.57,0.33,0.3,0.29,0.25
f_0,0.42,0.52,0.67,0.67,0.55,0.43,0.44,0.35,0.29,0.41,0.63,0.36,0.35,0.48,0.23,0.32
b_0,0.69,0.69,0.73,0.48,0.29,0.38,0.47,0.39,0.42,0.36,0.37,0.62,0.35,0.24,0.41,0.29
h_0,0.96,0.57,0.58,0.55,0.53,0.43,0.31,0.38,0.45,0.36,0.38,0.42,0.27,0.26,0.23,0.34
e_0,0.66,0.5,0.76,0.57,0.68,0.45,0.55,0.62,0.39,0.45,0.37,0.5,0.43,0.61,0.36,0.4
a_0,0.92,0.57,0.78,0.71,0.58,0.3,0.53,0.53,0.34,0.39,0.34,0.38,0.45,0.32,0.6,0.38
g_0,0.57,0.76,0.63,0.93,0.63,0.43,0.46,0.27,0.2,0.42,0.47,0.42,0.36,0.29,0.24,0.2
