,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.08,2.13,2.35,1.91,2.35,2.06,0.5,0.53,0.47,0.65,0.41,0.56,0.25,0.43,0.38,0.35
e_1,1.47,1.09,2.82,2.37,2.48,2.51,0.64,0.53,0.52,0.65,0.48,0.65,0.36,0.6,0.47,0.35
c_1,2.78,2.11,1.1,3.24,2.76,2.37,0.79,0.35,0.64,0.7,0.53,0.5,0.39,0.46,0.49,0.41
d_1,2.86,3.17,2.86,1.09,2.5,2.37,0.67,0.82,0.49,0.51,0.58,0.5,0.37,0.42,0.53,0.23
b_1,3.64,3.13,1.74,3.48,1.1,2.88,0.89,0.58,0.83,1.0,1.0,0.65,0.5,0.53,0.62,0.44
a_1,5.01,4.97,3.48,4.79,2.13,1.12,1.46,1.08,1.03,1.22,1.53,0.88,0.62,0.86,1.54,0.7
h_1,10.02,10.54,9.56,9.56,9.31,7.56,1.54,2.15,1.81,2.7,1.94,1.94,1.79,1.87,1.94,1.34
d_0,9.92,7.09,11.64,14.61,12.03,9.56,3.48,1.8,2.48,3.41,2.51,2.38,1.72,2.31,1.97,1.97
c_0,14.37,13.33,18.74,7.41,13.33,11.08,3.84,3.41,1.78,3.48,2.77,2.53,1.77,2.29,2.55,1.44
g_1,13.85,12.96,11.94,12.16,12.29,9.94,2.69,2.61,2.47,1.59,2.52,2.41,1.43,2.31,2.95,2.0
b_0,15.0,13.14,19.18,10.71,18.68,12.67,3.66,3.33,1.57,3.65,1.8,2.72,2.0,3.02,2.39,1.89
f_0,20.7,15.7,14.72,15.95,13.65,11.08,4.05,3.07,3.46,2.79,3.35,1.86,2.34,2.53,2.87,1.33
h_0,18.05,16.68,18.52,15.95,18.56,15.84,6.84,4.29,3.64,4.96,3.39,3.95,2.96,3.41,3.0,2.54
e_0,30.72,25.31,19.07,24.23,19.86,19.3,5.84,4.29,4.53,5.17,4.69,2.46,3.52,2.21,3.93,2.71
a_0,23.51,20.33,28.27,19.66,31.21,26.32,5.59,5.18,3.46,5.96,2.38,4.28,3.11,4.25,2.07,2.71
g_0,25.56,26.38,26.2,22.01,23.67,24.72,5.67,5.45,4.56,8.27,4.65,4.67,2.73,3.78,4.44,4.22
