,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,36.03,0.08,0.06,0.06,0.07,0.1,0.24,0.29,0.69,0.29,0.34,0.26,0.39,0.36,,0.77
f_1,0.12,40.14,0.08,0.06,0.07,0.06,0.26,0.26,0.42,0.38,0.47,,0.2,0.66,0.23,0.31
c_1,0.06,0.06,41.76,0.07,0.11,0.06,0.31,0.3,0.43,0.3,,0.52,0.35,0.58,0.29,0.57
d_1,0.05,0.06,0.06,42.67,0.07,0.08,0.33,0.34,,0.55,0.79,0.32,,0.42,0.5,0.3
b_1,0.07,0.07,0.08,0.04,48.24,0.11,0.27,0.24,0.34,,0.47,0.29,0.32,0.65,0.33,0.84
a_1,0.07,0.06,0.07,0.06,0.06,64.75,0.4,0.28,0.42,0.3,0.33,0.38,,0.61,,0.53
h_1,0.24,0.34,0.15,0.34,0.3,0.24,27.78,1.53,1.23,1.16,1.12,1.35,1.46,,2.34,3.06
g_1,0.24,0.24,0.27,0.41,0.15,0.25,1.14,33.99,1.12,1.48,1.43,2.63,,2.36,1.5,
d_0,0.27,0.32,0.75,,0.4,0.34,1.09,1.45,18.92,2.39,1.62,1.51,1.5,3.81,1.86,2.45
b_0,0.41,0.3,0.26,0.39,,0.25,2.12,0.92,1.24,18.65,2.23,2.27,4.12,2.6,2.31,2.95
c_0,0.36,0.36,,0.25,0.27,0.31,1.77,1.49,2.51,3.31,17.87,1.54,2.48,3.56,2.65,2.27
f_0,0.26,,0.3,0.38,0.55,0.28,1.36,1.59,2.02,1.83,1.7,23.54,1.63,2.46,3.33,3.73
a_0,0.32,0.34,0.36,0.42,0.26,,1.25,1.09,2.26,1.44,2.52,1.74,28.28,4.14,,3.41
h_0,0.45,0.92,0.58,0.52,0.63,0.54,,2.88,2.99,2.54,2.88,1.89,3.52,,2.55,5.74
e_0,,0.37,0.34,0.27,0.33,0.3,1.81,1.41,1.07,2.68,1.36,2.85,2.68,4.81,30.55,2.62
g_0,0.58,0.4,0.47,0.95,0.31,0.63,1.87,,2.15,3.27,2.67,4.56,4.18,5.02,2.43,
