,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.4,1.84,1.89,1.81,1.46,0.57,0.76,0.57,0.51,0.52,0.79,0.36,0.42,0.45,0.38
e_1,1.33,1.06,2.28,2.13,2.04,1.99,0.78,0.79,0.84,0.68,0.7,0.74,0.48,0.63,0.53,0.74
d_1,2.3,2.45,1.06,2.35,2.24,1.68,0.83,0.57,0.9,0.64,0.65,0.53,0.5,0.54,0.32,0.54
c_1,2.32,2.08,2.52,1.06,2.39,2.05,0.88,0.78,0.42,0.83,0.58,0.64,0.52,0.66,0.48,0.52
b_1,2.83,2.32,2.58,1.58,1.06,2.62,1.16,0.98,0.86,0.98,1.14,0.7,0.63,0.65,0.63,0.72
a_1,4.06,3.08,3.44,3.21,1.81,1.07,1.53,1.28,1.04,1.15,1.13,0.97,0.9,1.32,0.73,0.83
h_1,6.59,5.49,4.95,5.26,4.79,4.36,1.33,2.19,1.84,1.49,1.5,1.44,1.6,1.29,1.56,1.39
g_1,6.25,6.84,6.7,6.79,6.19,4.97,1.9,1.35,2.19,1.79,1.76,2.05,1.22,1.65,1.63,1.67
d_0,7.27,3.96,8.78,8.3,5.99,5.83,2.43,2.49,1.48,1.72,1.99,1.69,1.68,1.9,1.61,1.92
c_0,9.02,7.02,4.59,9.2,6.47,5.05,2.48,2.6,2.56,1.5,2.48,1.61,1.9,2.12,1.64,1.95
b_0,8.46,6.46,5.8,10.26,9.74,5.55,2.68,2.78,1.99,1.22,1.47,1.77,1.61,2.17,1.39,1.62
f_0,10.25,6.83,8.22,7.57,7.9,6.79,3.21,1.92,2.65,2.69,2.51,1.5,1.83,1.98,1.21,2.46
h_0,10.05,10.13,8.31,8.77,6.81,6.19,4.42,3.58,2.76,2.23,2.55,2.38,2.36,2.05,2.07,1.72
a_0,11.16,9.98,9.25,8.9,10.51,10.02,3.75,3.25,3.15,2.26,1.8,2.52,2.14,1.57,1.96,2.07
g_0,11.52,9.81,11.54,11.27,9.61,8.71,2.87,4.76,3.49,2.64,3.02,3.11,1.92,2.82,2.49,2.43
e_0,16.82,13.47,9.54,11.69,9.98,10.43,4.04,4.31,2.84,2.63,3.1,1.64,2.86,2.55,2.15,1.6
